dataset,model,defense,mean_none,mean_defense,diff,p_value,p_adjusted,adjustment,effect_size_delta
synthetic_low_medium,GraphSAGE,lbp,0.51746,0.5101600000000001,-0.007300000000000029,0.7864482121468547,1.0,holm,-0.007300000000000029
synthetic_low_medium,GraphSAGE,gtd,0.51746,0.5241,0.006640000000000012,0.5651158482711657,1.0,holm,0.006640000000000012
synthetic_low_medium,GraphSAGE,sami,0.51746,0.48944,-0.02801999999999999,0.3251076282221367,1.0,holm,-0.02801999999999999
synthetic_low_sparse,GCN,dropedge,0.587,0.58758,0.0005799999999999472,0.9713339929441125,1.0,holm,0.0005799999999999472
synthetic_low_sparse,GCN,label_smoothing,0.587,0.59252,0.005520000000000002,0.6217803617256696,1.0,holm,0.005520000000000002
synthetic_low_sparse,GCN,lbp,0.587,0.55102,-0.03598000000000005,0.3649917279232824,1.0,holm,-0.03598000000000005
synthetic_low_sparse,GCN,gtd,0.587,0.5695,-0.017500000000000016,0.5854480109207953,1.0,holm,-0.017500000000000016
synthetic_low_sparse,GCN,sami,0.587,0.6009800000000001,0.013979999999999982,0.5926764508367584,1.0,holm,0.013979999999999982
synthetic_low_sparse,GCN,sami_no_lte,0.587,0.58528,-0.0017200000000000214,0.9418106292101593,1.0,holm,-0.0017200000000000214
synthetic_low_sparse,GCN,sami_no_adv,0.587,0.5949199999999999,0.00791999999999996,0.7723573065023769,1.0,holm,0.00791999999999996
synthetic_low_sparse,GCN,sami_no_gate,0.587,0.5796600000000001,-0.007340000000000002,0.744204519701634,1.0,holm,-0.007340000000000002
synthetic_low_sparse,GCN,sami_temp_only,0.587,0.5954200000000001,0.008419999999999993,0.1879637255720866,1.0,holm,0.008419999999999993
synthetic_low_sparse,GCN,advreg,0.587,0.6127400000000001,0.025739999999999996,0.43892128401630237,1.0,holm,0.025739999999999996
synthetic_low_sparse,GraphSAGE,dropedge,0.5348200000000001,0.51938,-0.015439999999999987,0.7499250307599509,1.0,holm,-0.015439999999999987
synthetic_low_sparse,GraphSAGE,label_smoothing,0.5348200000000001,0.61572,0.0809,0.18247680664197607,1.0,holm,0.0809
