dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Cora,GCN,advreg,ece_test,0.043280000000000006,0.010936727115549697,0.034640000000000004,0.05192,5
Cora,GCN,advreg,lira_tpr_at_0.01_fpr,0.0196,0.007620367445208925,0.013479999999999997,0.025339999999999994,5
Cora,GCN,dropedge,test_accuracy,0.8692399999999999,0.004379269345450217,0.86628,0.8731399999999999,5
Cora,GCN,dropedge,conf_attack_auc,0.57282,0.013764337978994859,0.56136,0.5837399999999999,5
Cora,GCN,dropedge,lira_attack_auc,0.5369999999999999,0.007600986778044024,0.531,0.5429999999999999,5
Cora,GCN,dropedge,ece_test,0.028140000000000005,0.004852112941801746,0.024299499999999998,0.03146,5
Cora,GCN,dropedge,lira_tpr_at_0.01_fpr,0.018679999999999995,0.007563861447699845,0.012580000000000003,0.024224499999999996,5
Cora,GCN,gtd,test_accuracy,0.8740600000000001,0.006083420090705557,0.8694200000000001,0.8786799999999999,5
Cora,GCN,gtd,conf_attack_auc,0.5644600000000001,0.02018447423144827,0.54944,0.5799,5
Cora,GCN,gtd,lira_attack_auc,0.53508,0.01182822894604261,0.52608,0.5440799999999999,5
Cora,GCN,gtd,ece_test,0.05062,0.008689764093460764,0.04412,0.056999999999999995,5
Cora,GCN,gtd,lira_tpr_at_0.01_fpr,0.01772,0.006909920404751418,0.012535000000000004,0.0229,5
Cora,GCN,label_smoothing,test_accuracy,0.8676,0.004983472684785154,0.8637355,0.8714644999999999,5
Cora,GCN,label_smoothing,conf_attack_auc,0.6157199999999999,0.033223892005603425,0.58808,0.64004,5
Cora,GCN,label_smoothing,lira_attack_auc,0.54904,0.01191356369857482,0.54026,0.55836,5
Cora,GCN,label_smoothing,ece_test,0.0873,0.005546169849544819,0.08301550000000002,0.09158000000000001,5
Cora,GCN,label_smoothing,lira_tpr_at_0.01_fpr,0.019219999999999998,0.008395653637448368,0.01242,0.02566,5
Cora,GCN,lbp,test_accuracy,0.6833,0.016040261843249328,0.6711200000000002,0.6977,5
Cora,GCN,lbp,conf_attack_auc,0.56172,0.028244149836736114,0.5396,0.58384,5
Cora,GCN,lbp,lira_attack_auc,0.5614999999999999,0.0069728043139041206,0.5554599999999998,0.5664399999999998,5
Cora,GCN,lbp,ece_test,0.11952,0.012703031134339552,0.10894000000000001,0.12852,5
Cora,GCN,lbp,lira_tpr_at_0.01_fpr,0.01884,0.003979698481040995,0.0160565,0.02234,5
Cora,GCN,none,test_accuracy,0.86538,0.006336955104780215,0.8605600000000001,0.8702,5
Cora,GCN,none,conf_attack_auc,0.58116,0.0072545158349816945,0.5747800000000001,0.5863,5
Cora,GCN,none,lira_attack_auc,0.53944,0.01011177531395947,0.53068,0.5466615,5
Cora,GCN,none,ece_test,0.04184,0.009040077433296687,0.0346,0.048420000000000005,5
Cora,GCN,none,lira_tpr_at_0.01_fpr,0.017920000000000002,0.0059310201483387314,0.013500000000000002,0.022194499999999985,5
Cora,GCN,sami,test_accuracy,0.86222,0.00742576595375856,0.8559215,0.8672000000000001,5
Cora,GCN,sami,conf_attack_auc,0.56648,0.009538710604688642,0.5591275,0.5729445,5
Cora,GCN,sami,lira_attack_auc,0.53268,0.0106405826908116,0.5250600000000001,0.5417599999999999,5
Cora,GCN,sami,ece_test,0.09079999999999999,0.011232542009714451,0.08257999999999999,0.1002,5
Cora,GCN,sami,lira_tpr_at_0.01_fpr,0.01848,0.005748652015907729,0.0137,0.022719999999999997,5
Cora,GCN,sami_no_adv,test_accuracy,0.8611000000000001,0.005086747487343947,0.8564999999999999,0.8648,5
Cora,GCN,sami_no_adv,conf_attack_auc,0.5687399999999999,0.00958556205968124,0.5612199999999999,0.57514,5
Cora,GCN,sami_no_adv,lira_attack_auc,0.5354,0.014868591056317349,0.52482,0.54586,5
Cora,GCN,sami_no_adv,ece_test,0.08990000000000001,0.008829496021857645,0.08332,0.0969415,5
Cora,GCN,sami_no_adv,lira_tpr_at_0.01_fpr,0.01678,0.004771477758514651,0.012719999999999999,0.01992,5
Cora,GCN,sami_no_gate,test_accuracy,0.8637,0.004613566949768894,0.8601800000000001,0.8670199999999999,5
Cora,GCN,sami_no_gate,conf_attack_auc,0.5594600000000001,0.008682914257321688,0.55272,0.5662,5
Cora,GCN,sami_no_gate,lira_attack_auc,0.5320199999999999,0.01373014930727265,0.5217345,0.5429199999999998,5
Cora,GCN,sami_no_gate,ece_test,0.0985,0.00747027442601676,0.09298,0.1046,5
Cora,GCN,sami_no_gate,lira_tpr_at_0.01_fpr,0.016980000000000002,0.0043791551696645776,0.013120000000000001,0.0201,5
Cora,GCN,sami_no_lte,test_accuracy,0.7518,0.010574734039208725,0.7432909999999999,0.759,5
Cora,GCN,sami_no_lte,conf_attack_auc,0.56106,0.0025861167800391173,0.5592400000000001,0.5629799999999999,5
Cora,GCN,sami_no_lte,lira_attack_auc,0.56662,0.006222298610642187,0.5621400000000001,0.5716,5
Cora,GCN,sami_no_lte,ece_test,0.16549999999999998,0.01764695441145582,0.15230000000000002,0.17858300000000002,5
Cora,GCN,sami_no_lte,lira_tpr_at_0.01_fpr,0.021980000000000003,0.006495921797558836,0.01774,0.02732,5
Cora,GCN,sami_temp_only,test_accuracy,0.8683400000000001,0.004600869483043436,0.8649799999999999,0.8717,5
