dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,attack_setting
synthetic_low_sparse,GCN,none,{},42,eac9960f8ba0,0.2982,0.005,0.7562,0.9625,0.2063,0.7556,0.9692,0.6359,0.5813,0.5634,0.5375,0.0,0.0,0.6362,0.5687,0.5649,0.5219,0.4971,0.475,0.0187,0.025,0.132,0.0551,1,,none_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7562,0.8875,0.1312,0.7548,0.9251,0.5791,0.55,0.5794,0.5563,0.0,0.0,0.5436,0.525,0.5103,0.5062,0.5056,0.5094,0.0,0.0,0.035,0.1771,1,,sami_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7688,0.95,0.1812,0.7698,0.9361,0.6207,0.6125,0.6193,0.575,0.0063,0.0187,0.6101,0.5938,0.5893,0.5563,0.518,0.525,0.0063,0.0125,0.0587,0.177,5,,sami_k5
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7812,0.95,0.1687,0.7815,0.9523,0.5963,0.6,0.6062,0.575,0.0063,0.0187,0.5951,0.6062,0.5709,0.5531,0.508,0.5094,0.0,0.0063,0.0732,0.1775,20,,sami_k20
synthetic_low_sparse,GCN,none,{},123,eac9960f8ba0,0.2982,0.005,0.8313,0.9688,0.1375,0.8296,0.9807,0.4963,0.5312,0.5271,0.5,0.0,0.0,0.6553,0.5813,0.5042,0.5219,0.4968,0.4875,0.0063,0.0187,0.0788,0.0383,1,,none_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.9375,0.125,0.81,0.9405,0.5681,0.5312,0.5499,0.5125,0.0,0.0,0.5656,0.5188,0.5015,0.4844,0.4998,0.5219,0.0,0.0125,0.0803,0.1788,1,,sami_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8438,0.9812,0.1375,0.8433,0.9568,0.545,0.5437,0.5609,0.5188,0.0187,0.025,0.6697,0.625,0.6025,0.5469,0.4779,0.475,0.0,0.0,0.1075,0.1788,5,,sami_k5
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.85,0.975,0.125,0.8494,0.9674,0.5566,0.5,0.5757,0.5375,0.025,0.025,0.5653,0.6125,0.5604,0.55,0.4776,0.475,0.0125,0.0125,0.1006,0.1929,20,,sami_k20
synthetic_low_sparse,GCN,none,{},456,eac9960f8ba0,0.2982,0.005,0.7875,0.9625,0.175,0.7859,0.9711,0.6508,0.4688,0.5701,0.5125,0.0,0.0,0.6337,0.5875,0.5349,0.5469,0.4788,0.5281,0.0063,0.0063,0.0697,0.0379,1,,none_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.2982,0.005,0.7688,0.9375,0.1687,0.7626,0.9233,0.6464,0.5,0.5483,0.5,0.0,0.0,0.6155,0.5188,0.5124,0.5031,0.4793,0.5312,0.0,0.0187,0.0564,0.1802,1,,sami_k1
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.2982,0.005,0.7875,0.9625,0.175,0.7847,0.9378,0.7098,0.5625,0.5736,0.5188,0.0063,0.0187,0.6993,0.6312,0.5406,0.5563,0.4738,0.5312,0.0063,0.0312,0.0932,0.1818,5,,sami_k5
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.2982,0.005,0.8063,0.95,0.1437,0.8025,0.9562,0.6482,0.4688,0.5671,0.525,0.0125,0.0125,0.7219,0.6625,0.5272,0.5375,0.459,0.525,0.0,0.0063,0.1064,0.1787,20,,sami_k20
