dataset,seed,defense,quintile,risk_lo,risk_hi,n_members,conf_auroc,tpr_at_0.01,mean_member_conf
Actor,42,none,4,0.5766129493713379,0.7177419066429138,770,0.8609503161312373,0.015584415584415584,0.744255270552519
Actor,42,none,5,0.7177419066429138,1.0,736,0.8258697439931351,0.01358695652173913,0.6828523176524829
Actor,42,sami,1,0.030913976952433586,0.36491939425468445,514,0.8408585910301045,0.03696498054474708,0.6425629672939341
Actor,42,sami,2,0.36491939425468445,0.5128397703170777,702,0.8028021442495128,0.03276353276353276,0.5881272162135999
Actor,42,sami,3,0.5128397703170777,0.5766129493713379,318,0.7545514730221781,0.0220125786163522,0.5285152599491106
Actor,42,sami,4,0.5766129493713379,0.7177419066429138,770,0.7863659859876966,0.03506493506493506,0.5661285482721676
Actor,42,sami,5,0.7177419066429138,1.0,736,0.6623715049342106,0.025815217391304348,0.43781607100856595
Actor,123,none,1,0.009382754564285278,0.35483869910240173,600,0.8471428179824562,0.02,0.7292365112776558
Actor,123,none,2,0.35483869910240173,0.41960686445236206,615,0.8201080445014977,0.008130081300813009,0.68162494970531
Actor,123,none,3,0.41960686445236206,0.5766129493713379,603,0.8343520882429957,0.011608623548922056,0.6988692956962692
Actor,123,none,4,0.5766129493713379,0.6612903475761414,588,0.852374518886502,0.011904761904761904,0.7409027103385349
Actor,123,none,5,0.6612903475761414,1.0,634,0.8277317159222979,0.012618296529968454,0.6901032057376314
Actor,123,sami,1,0.009382754564285278,0.35483869910240173,600,0.8425970394736841,0.04,0.6557676031308097
Actor,123,sami,2,0.35483869910240173,0.41960686445236206,615,0.7888928112965341,0.032520325203252036,0.5780165355907854
Actor,123,sami,3,0.41960686445236206,0.5766129493713379,603,0.7718343589072185,0.029850746268656716,0.5502106207396485
Actor,123,sami,4,0.5766129493713379,0.6612903475761414,588,0.773330088614393,0.03741496598639456,0.550759076939591
Actor,123,sami,5,0.6612903475761414,1.0,634,0.7010599991698488,0.025236593059936908,0.4697355065968558
Actor,456,none,1,0.0,0.344660222530365,587,0.8527982941809379,0.0034071550255536627,0.7346072551783244
Actor,456,none,2,0.344660222530365,0.4302184283733368,626,0.8198101458718682,0.009584664536741214,0.6794247768414668
Actor,456,none,3,0.4302184283733368,0.5631068348884583,567,0.8472297642253782,0.019400352733686066,0.7155211013092986
Actor,456,none,4,0.5631068348884583,0.6715459823608426,652,0.8538595818534066,0.01687116564417178,0.7307816654603723
Actor,456,none,5,0.6715459823608426,1.0,608,0.8325360327216065,0.01644736842105263,0.6952875350896073
Actor,456,sami,1,0.0,0.344660222530365,587,0.8544096879763292,0.027257240204429302,0.6633558794337053
Actor,456,sami,2,0.344660222530365,0.4302184283733368,626,0.7894274424079368,0.011182108626198083,0.5748665701324043
Actor,456,sami,3,0.4302184283733368,0.5631068348884583,567,0.7757478186206257,0.02292768959435626,0.5506629655835116
Actor,456,sami,4,0.5631068348884583,0.6715459823608426,652,0.7598886018727802,0.02607361963190184,0.5308826503571124
Actor,456,sami,5,0.6715459823608426,1.0,608,0.6808793931786703,0.03125,0.4548652064944103
