dataset,model,defense,baseline,metric,mean_baseline,mean_defense,diff,t_stat,p_value,n_seeds,util_diff,util_baseline,util_defense,p_adjusted,adjustment,effect_size_delta
Cora,GraphSAGE,label_smoothing,none,lira_attack_auc,0.56672,0.5906200000000001,0.02390000000000001,-13.26550058811808,0.00018662947521886356,5,0.0020400000000000197,0.877,0.87904,0.010077991661818633,holm,0.02390000000000001
PubMed,GCN,sami,none,lira_attack_auc,0.50024,0.49892000000000003,-0.0013199999999999878,0.6263455368093982,0.565056904394019,5,-0.01214000000000004,0.8631599999999999,0.8510199999999999,1.0,holm,-0.0013199999999999878
PubMed,GCN,lbp,none,lira_attack_auc,0.50024,0.50038,0.00013999999999997348,-0.17397010101431531,0.8703386451457928,5,-0.14157999999999998,0.8631599999999999,0.72158,1.0,holm,0.00013999999999997348
PubMed,GCN,gtd,none,lira_attack_auc,0.50024,0.49822,-0.0020199999999999997,3.253834909625411,0.0312622467832672,5,-0.00656000000000001,0.8631599999999999,0.8566,1.0,holm,-0.0020199999999999997
PubMed,GCN,dropedge,none,lira_attack_auc,0.50024,0.49939999999999996,-0.0008399999999999852,1.0167077735257435,0.366787687739076,5,0.002159999999999984,0.8631599999999999,0.86532,1.0,holm,-0.0008399999999999852
PubMed,GCN,label_smoothing,none,lira_attack_auc,0.50024,0.4991,-0.0011400000000000078,1.5039106697112428,0.20704116592809296,5,0.00031999999999998696,0.8631599999999999,0.86348,1.0,holm,-0.0011400000000000078
PubMed,GraphSAGE,sami,none,lira_attack_auc,0.5057,0.5025799999999999,-0.003120000000000045,3.084124403130552,0.0367837512240159,5,-0.00968,0.8745800000000001,0.8648999999999999,1.0,holm,-0.003120000000000045
PubMed,GraphSAGE,lbp,none,lira_attack_auc,0.5057,0.50508,-0.0006200000000000205,0.6026522383038186,0.5792389794154469,5,-0.11094,0.8745800000000001,0.76364,1.0,holm,-0.0006200000000000205
PubMed,GraphSAGE,gtd,none,lira_attack_auc,0.5057,0.50262,-0.003080000000000016,2.9895868520387574,0.04035458566115149,5,-0.008820000000000005,0.8745800000000001,0.8657599999999999,1.0,holm,-0.003080000000000016
PubMed,GraphSAGE,dropedge,none,lira_attack_auc,0.5057,0.5037400000000001,-0.001960000000000006,3.954958130129085,0.016748237805819657,5,0.004559999999999964,0.8745800000000001,0.8791399999999999,0.8039154146793435,holm,-0.001960000000000006
PubMed,GraphSAGE,label_smoothing,none,lira_attack_auc,0.5057,0.50418,-0.0015200000000000324,1.831990246327234,0.1409017070840081,5,0.0015200000000000103,0.8745800000000001,0.8761000000000001,1.0,holm,-0.0015200000000000324
synthetic_high_dense,GCN,sami,none,lira_attack_auc,0.49404000000000003,0.50928,0.015240000000000009,-0.8832362342445074,0.4269967933133126,5,-0.008739999999999993,1.0,0.9912600000000001,1.0,holm,0.015240000000000009
synthetic_high_dense,GCN,lbp,none,lira_attack_auc,0.49404000000000003,0.48860000000000003,-0.005439999999999989,0.5287672476535733,0.6249473909732666,5,-0.11750000000000002,1.0,0.8825,1.0,holm,-0.005439999999999989
synthetic_high_dense,GCN,gtd,none,lira_attack_auc,0.49404000000000003,0.48984000000000005,-0.004199999999999993,1.062389316686018,0.34794383993899897,5,0.0,1.0,1.0,1.0,holm,-0.004199999999999993
synthetic_high_dense,GCN,dropedge,none,lira_attack_auc,0.49404000000000003,0.49362000000000006,-0.00042000000000000923,0.1033611520082276,0.9226511943925209,5,0.0,1.0,1.0,1.0,holm,-0.00042000000000000923
synthetic_high_dense,GCN,label_smoothing,none,lira_attack_auc,0.49404000000000003,0.50114,0.0071000000000000065,-1.0115232798210205,0.36898219344790884,5,0.0,1.0,1.0,1.0,holm,0.0071000000000000065
