dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,variant
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.81,0.00144,0.8772,1.0,0.1228,0.8613,0.986,0.57,0.5586,0.5923,0.5577,0.0,0.0139,0.5614,0.5614,0.5699,0.578,,,0.5377,0.5319,0.0018,0.0166,0.0913,0.9096,1,,confirm,gtd
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.81,0.00144,0.699,0.8236,0.1247,0.6749,0.8909,0.5607,0.554,0.5707,0.5485,0.0,0.0,0.5623,0.5623,0.5618,0.5577,,,0.5072,0.5125,0.0,0.0148,0.139,0.8974,1,,confirm,lbp
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",789,06e54a47c487,0.81,0.00144,0.8744,1.0,0.1256,0.8576,0.9168,0.5618,0.5743,0.5628,0.5,0.0,0.0,0.5628,0.5628,0.5618,0.5743,,,0.5848,0.5466,0.0,0.0,0.1256,0.916,1,,confirm,maskarmor
Cora,GraphSAGE,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""noise_scale"": 0.0}",789,06e54a47c487,0.81,0.00144,0.8763,1.0,0.1237,0.8588,0.9872,0.6065,0.6076,0.6298,0.5826,0.0,0.024,0.5619,0.5619,0.606,0.6159,,,0.5364,0.5351,0.0129,0.0323,0.0449,2.1074,1,,confirm,advreg
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.81,0.00144,0.8735,0.9861,0.1127,0.8567,0.9508,0.5525,0.5559,0.5612,0.5272,0.0,0.0,0.5563,0.5563,0.5566,0.5568,,,0.5145,0.5259,0.0102,0.0157,0.1218,2.7581,1,,confirm,sami_best
Cora,GraphSAGE,none,{},1024,06e54a47c487,0.81,0.00144,0.8744,1.0,0.1256,0.8562,0.9824,0.6442,0.6556,0.6499,0.5854,0.0046,0.0259,0.5628,0.5628,0.6442,0.6528,,,0.5674,0.5586,0.012,0.0332,0.0503,0.8985,1,,confirm,none
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.81,0.00144,0.867,1.0,0.133,0.8505,0.979,0.5841,0.5799,0.5871,0.5559,0.0,0.0231,0.5665,0.5665,0.5841,0.5826,,,0.5407,0.5443,0.0083,0.0175,0.0985,1.0677,1,,confirm,gtd
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",1024,06e54a47c487,0.81,0.00144,0.6888,0.8089,0.12,0.6562,0.8893,0.5678,0.5485,0.577,0.5466,0.0,0.0148,0.56,0.56,0.558,0.5568,,,0.5259,0.5319,0.0,0.0185,0.1308,0.9315,1,,confirm,lbp
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",1024,06e54a47c487,0.81,0.00144,0.8744,1.0,0.1256,0.8562,0.9142,0.5622,0.5577,0.5628,0.5,0.0,0.0,0.5628,0.5628,0.5622,0.5577,,,0.582,0.5476,0.0,0.0,0.1256,0.972,1,,confirm,maskarmor
Cora,GraphSAGE,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""noise_scale"": 0.0}",1024,06e54a47c487,0.81,0.00144,0.8772,1.0,0.1228,0.8625,0.9807,0.6161,0.6113,0.6189,0.566,0.0074,0.0249,0.5614,0.5614,0.617,0.6168,,,0.5477,0.542,0.0129,0.0175,0.0319,2.2029,1,,confirm,advreg
