dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds
synthetic_low_sparse,GCN,dropedge,none,lira_attack_auc,0.000539999999999996,0.007709280122034743,-0.005140000000000022,0.007220000000000004,5
synthetic_low_sparse,GraphSAGE,dropedge,none,lira_attack_auc,-0.0008999999999999786,0.01065058683829204,-0.008919999999999961,0.007120000000000004,5
Citeseer,GCN,sami,none,conf_attack_auc,-0.008220000000000005,0.009804947730610306,-0.015180000000000016,-5.999999999997119e-05,5
Citeseer,GraphSAGE,sami,none,conf_attack_auc,-0.08437999999999998,0.019219443280178536,-0.10011999999999999,-0.06927999999999998,5
Cora,GCN,sami,none,conf_attack_auc,-0.014680000000000026,0.014008640190967866,-0.026900000000000035,-0.0045570000000000254,5
Cora,GraphSAGE,sami,none,conf_attack_auc,-0.07638,0.006391556930826809,-0.08178,-0.07187999999999999,5
PubMed,GCN,sami,none,conf_attack_auc,0.006259999999999999,0.010224138105483501,-0.0007399999999999962,0.014659999999999973,5
PubMed,GraphSAGE,sami,none,conf_attack_auc,0.0024000000000000354,0.006610219360959214,-0.002279999999999971,0.007822000000000037,5
synthetic_high_dense,GCN,sami,none,conf_attack_auc,0.00928,0.01981456534976229,-0.006820000000000004,0.025460000000000003,5
synthetic_high_dense,GraphSAGE,sami,none,conf_attack_auc,0.019779999999999985,0.010531239243318002,0.012079999999999947,0.027480000000000025,5
synthetic_low_medium,GCN,sami,none,conf_attack_auc,-0.010259999999999991,0.02718589707918429,-0.030499999999999992,0.009980000000000011,5
synthetic_low_medium,GraphSAGE,sami,none,conf_attack_auc,-0.02801999999999999,0.05590077816989673,-0.07500000000000001,0.007200000000000028,5
synthetic_low_sparse,GCN,sami,none,conf_attack_auc,0.013979999999999982,0.05384539906064398,-0.02622000000000003,0.05339999999999997,5
synthetic_low_sparse,GraphSAGE,sami,none,conf_attack_auc,-0.04886,0.13455879012535746,-0.1414899999999999,0.06077999999999999,5
