dataset,model,defense,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,attack_auc_mean,attack_auc_std,attack_tpr01_mean,attack_tpr05_mean,attack_adv_mean,thresh_auc_mean,thresh_auc_std,shadow_auc_mean,shadow_auc_std,shadow_tpr01_mean,shadow_tpr05_mean,shadow_adv_mean,ece_test_mean,ece_test_std,label_only_auc_mean,label_only_auc_std,label_only_tpr01_mean,label_only_tpr05_mean,label_only_adv_mean,train_ego_gap_mean,test_ego_gap_mean,ego_gap_diff_mean,dp_epsilon_mean
synthetic_high_sparse,GCN,edge_sparsification,0.9355,0.0144,0.9354,0.0147,0.5417,0.0439,0.0251,0.0686,0.1374,0.5346,0.03,0.5084,0.0265,0.0195,0.056,0.082,0.0495,0.0117,,,,,,0.3391,0.3149,0.0241,
synthetic_high_sparse,GCN,epsd_tuned,0.944,0.0115,0.9436,0.0113,0.49,0.0591,0.0032,0.0311,0.0778,0.5278,0.0368,0.5046,0.0349,0.0185,0.0525,0.0715,0.0304,0.0098,,,,,,0.2414,0.2653,-0.0239,
synthetic_high_sparse,GCN,label_smoothing,0.944,0.0145,0.9436,0.0143,0.5168,0.05,0.0135,0.0279,0.1194,0.5236,0.0373,0.5449,0.0295,0.0165,0.0575,0.1055,0.0939,0.0142,,,,,,0.2206,0.2251,-0.0045,
synthetic_high_sparse,GCN,none,0.945,0.0108,0.9446,0.0109,0.53,0.047,0.0031,0.0602,0.117,0.5297,0.0285,0.5198,0.026,0.0235,0.0695,0.082,0.0401,0.0092,,,,,,0.3652,0.3065,0.0587,
synthetic_high_sparse,GraphSAGE,confidence_masking,0.995,0.0041,0.9949,0.0042,0.5544,0.0306,0.0135,0.0694,0.1563,0.5388,0.0134,0.537,0.0242,0.0185,0.0695,0.103,0.0054,0.004,,,,,,0.5429,0.8653,-0.3224,
synthetic_high_sparse,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.536,0.0422,0.02,0.0419,0.1121,0.5249,0.0112,0.5,0.0,0.0,0.0,0.0,0.0005,0.0016,,,,,,0.728,0.9661,-0.2381,
synthetic_high_sparse,GraphSAGE,early_stopping,0.992,0.0042,0.9918,0.0042,0.5606,0.0286,0.0132,0.0807,0.1621,0.5437,0.0231,0.5424,0.0254,0.016,0.0795,0.108,0.008,0.0038,,,,,,0.5093,0.8131,-0.3038,
synthetic_high_sparse,GraphSAGE,edge_sparsification,0.9975,0.0042,0.9974,0.0044,0.527,0.0545,0.0062,0.0378,0.1239,0.5432,0.0135,0.5272,0.0263,0.0075,0.043,0.0975,0.0031,0.0037,,,,,,0.6348,0.9309,-0.2961,
synthetic_high_sparse,GraphSAGE,epsd_tuned,0.9515,0.0085,0.951,0.0082,0.5124,0.0557,0.0132,0.0365,0.1089,0.5493,0.0236,0.5449,0.0246,0.018,0.06,0.1165,0.0708,0.0122,,,,,,0.0779,0.1072,-0.0293,
synthetic_high_sparse,GraphSAGE,label_smoothing,0.9975,0.0042,0.9975,0.0042,0.5615,0.0406,0.0081,0.0371,0.1962,0.5665,0.0379,0.566,0.038,0.0075,0.038,0.18,0.092,0.0089,,,,,,0.6253,0.6211,0.0042,
synthetic_high_sparse,GraphSAGE,none,0.995,0.0041,0.9949,0.0042,0.555,0.0314,0.0124,0.0725,0.1564,0.5388,0.0137,0.537,0.0239,0.0195,0.0585,0.107,0.0054,0.0039,,,,,,0.5429,0.8653,-0.3224,
synthetic_high_sparse,LogReg,none,1.0,0.0,1.0,0.0,0.532,0.0409,0.0197,0.0496,0.1146,0.5351,0.0413,0.5123,0.0219,0.007,0.0325,0.0335,0.0011,0.0002,,,,,,,,,
synthetic_high_sparse,MLP,none,1.0,0.0,1.0,0.0,0.5187,0.0402,0.0179,0.0686,0.097,0.5286,0.0328,0.5303,0.0307,0.0175,0.065,0.089,0.0041,0.0005,,,,,,,,,
synthetic_low_dense,GCN,confidence_masking,0.829,0.0222,0.8295,0.0227,0.514,0.0664,0.0209,0.062,0.1062,0.5218,0.0367,0.5167,0.0303,0.008,0.054,0.0855,0.0474,0.0166,,,,,,0.0041,0.0036,0.0004,
synthetic_low_dense,GCN,dropedge,0.8155,0.0374,0.8151,0.0388,0.5072,0.0447,0.0111,0.0532,0.0991,0.5287,0.0342,0.5211,0.0301,0.012,0.0575,0.0895,0.1558,0.036,,,,,,0.0021,0.0018,0.0003,
