dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag,wall_seconds
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4446,0.6945,0.899,0.4544,random_40_20_40,0.4406,0.7339,0.8025,0.7256,0.803,0.719,0.0,0.0,0.7272,0.7272,0.8028,0.7256,,,0.5562,0.5445,0.0044,0.011,0.2511,12.101,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0,lte,60.37
Chameleon,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",42,eac9960f8ba0,0.235,0.006966,0.4533,0.7055,0.9045,0.4512,random_40_20_40,0.4507,0.7296,0.8059,0.7223,0.8087,0.73,0.0,0.0318,0.7256,0.7256,0.803,0.742,,,0.5664,0.5505,0.0011,0.0132,0.2234,11.8145,1,,273.6,0.4005,0.0299,0.1202,0.4005,912.0,random,59.41
Chameleon,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",123,eac9960f8ba0,0.235,0.006966,0.4896,0.6967,0.9089,0.4193,random_40_20_40,0.487,0.7448,0.789,0.7003,0.7901,0.7003,0.0,0.0428,0.7097,0.7097,0.7885,0.7014,,,0.5451,0.5472,0.0,0.0121,0.2032,11.917,1,,271.8,0.3979,0.0334,0.1194,0.3979,906.0,random,59.56
Chameleon,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",456,eac9960f8ba0,0.235,0.006966,0.4566,0.6527,0.9001,0.4435,random_40_20_40,0.4516,0.7381,0.7932,0.7212,0.8055,0.7234,0.0,0.0483,0.7217,0.7217,0.7928,0.7201,,,0.5553,0.5477,0.011,0.0241,0.2241,12.3095,1,,276.9,0.4054,0.0334,0.1216,0.4054,923.0,random,60.69
Chameleon,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",42,eac9960f8ba0,0.235,0.006966,0.4665,0.6615,0.9045,0.438,random_40_20_40,0.4629,0.7391,0.8123,0.73,0.8125,0.7234,0.0,0.0659,0.719,0.719,0.8134,0.7289,,,0.5782,0.5609,0.0099,0.022,0.2087,27.9129,1,,275.4,0.4032,0.0378,0.1209,0.4032,918.0,audit,144.25
Chameleon,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",123,eac9960f8ba0,0.235,0.006966,0.4709,0.6813,0.91,0.4391,random_40_20_40,0.4672,0.7412,0.7983,0.7146,0.7941,0.7157,0.0,0.0659,0.7195,0.7195,0.7972,0.7322,,,0.543,0.5423,0.0,0.0176,0.2088,29.2512,1,,273.3,0.4001,0.0378,0.12,0.4001,911.0,audit,145.89
Chameleon,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",456,eac9960f8ba0,0.235,0.006966,0.4523,0.6703,0.8935,0.4413,random_40_20_40,0.4469,0.7409,0.7695,0.7157,0.7772,0.7025,0.0,0.0274,0.7206,0.7206,0.7697,0.7113,,,0.5611,0.5456,0.0066,0.0263,0.2402,29.7283,1,,280.8,0.4111,0.0593,0.1233,0.4111,936.0,audit,146.97
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.2188,0.00052,0.3326,0.3928,0.7461,0.4135,random_40_20_40,0.3159,0.6267,0.7632,0.7171,0.7571,0.7089,0.0,0.0125,0.7067,0.7067,0.7722,0.7194,,,0.5616,0.5469,0.0036,0.0181,0.2546,7.7424,1,,912.6,0.4003,0.1532,0.1201,0.4003,3042.0,lte,36.68
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.2188,0.00052,0.3253,0.4099,0.7632,0.4378,random_40_20_40,0.3052,0.6362,0.7718,0.7197,0.7604,0.7178,0.0,0.0184,0.7189,0.7189,0.7827,0.727,,,0.5531,0.5488,0.0072,0.0217,0.2626,7.0476,1,,911.1,0.3996,0.1321,0.1199,0.3996,3037.0,lte,35.7
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.2188,0.00052,0.324,0.4099,0.7579,0.4339,random_40_20_40,0.3095,0.626,0.7811,0.7309,0.7651,0.7204,0.0,0.0194,0.7169,0.7169,0.7897,0.7342,,,0.5699,0.5554,0.0079,0.0181,0.2684,6.9837,1,,911.7,0.3999,0.1354,0.12,0.3999,3039.0,lte,35.77
