dataset,model,defense,seed,homophily,density,feature_snr,h_target,rho_target,conf_attack_auc,test_accuracy,is_gcn
synth_h0.6_r0.04_snr0.25,GraphSAGE,none,42,0.5999373197555542,0.04,0.25,0.6,0.04,0.5618838992332968,0.99375,0.0
synth_h0.6_r0.04_snr0.25,GraphSAGE,none,123,0.5999373197555542,0.04,0.25,0.6,0.04,0.5903614457831325,1.0,0.0
synth_h0.6_r0.04_snr1.0,GCN,none,42,0.5999373197555542,0.04,1.0,0.6,0.04,0.4917853231106243,0.99375,1.0
synth_h0.6_r0.04_snr1.0,GCN,none,123,0.5999373197555542,0.04,1.0,0.6,0.04,0.5165075887967454,1.0,1.0
synth_h0.6_r0.04_snr1.0,GraphSAGE,none,42,0.5999373197555542,0.04,1.0,0.6,0.04,0.47214833359411673,1.0,0.0
synth_h0.6_r0.04_snr1.0,GraphSAGE,none,123,0.5999373197555542,0.04,1.0,0.6,0.04,0.4564230949773118,1.0,0.0
synth_h0.6_r0.04_snr2.5,GCN,none,42,0.5999373197555542,0.04,2.5,0.6,0.04,0.5017994054138633,1.0,1.0
synth_h0.6_r0.04_snr2.5,GCN,none,123,0.5999373197555542,0.04,2.5,0.6,0.04,0.4855265216711,1.0,1.0
synth_h0.6_r0.04_snr2.5,GraphSAGE,none,42,0.5999373197555542,0.04,2.5,0.6,0.04,0.5004694101079643,1.0,0.0
synth_h0.6_r0.04_snr2.5,GraphSAGE,none,123,0.5999373197555542,0.04,2.5,0.6,0.04,0.43709904553278056,1.0,0.0
synth_h0.8_r0.005_snr0.25,GCN,none,42,0.7994987368583679,0.005,0.25,0.8,0.005,0.4995305898920357,0.94375,1.0
synth_h0.8_r0.005_snr0.25,GCN,none,123,0.7994987368583679,0.005,0.25,0.8,0.005,0.52605226099202,0.93125,1.0
synth_h0.8_r0.005_snr0.25,GraphSAGE,none,42,0.7994987368583679,0.005,0.25,0.8,0.005,0.5728368017524644,0.95,0.0
synth_h0.8_r0.005_snr0.25,GraphSAGE,none,123,0.7994987368583679,0.005,0.25,0.8,0.005,0.5387263339070568,0.95,0.0
synth_h0.8_r0.005_snr1.0,GCN,none,42,0.7994987368583679,0.005,1.0,0.8,0.005,0.4558754498513535,0.98125,1.0
synth_h0.8_r0.005_snr1.0,GCN,none,123,0.7994987368583679,0.005,1.0,0.8,0.005,0.4734783289000157,0.94375,1.0
synth_h0.8_r0.005_snr1.0,GraphSAGE,none,42,0.7994987368583679,0.005,1.0,0.8,0.005,0.4978876545141605,0.99375,0.0
