dataset,model,het,sparsity,is_gcn,het_x_gcn,sparsity_x_gcn,snr,snr_x_inv,conf,homophily,density,h_target,rho_target
synth_h0.2_r0.01_snr2.5,GCN,0.8007518798112869,1.3862943611198904,1.0,0.8007518798112869,1.3862943611198904,2.5,0.399999840000064,0.5521827570020341,0.19924812018871307,0.01,0.2,0.01
synth_h0.2_r0.01_snr2.5,GraphSAGE,0.8007518798112869,1.3862943611198904,0.0,0.0,0.0,2.5,0.399999840000064,0.5891096854952277,0.19924812018871307,0.01,0.2,0.01
synth_h0.2_r0.02_snr0.25,GCN,0.800125315785408,0.6931471805599454,1.0,0.800125315785408,0.6931471805599454,0.25,3.9999840000640003,0.6186825222969802,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.02_snr0.25,GraphSAGE,0.800125315785408,0.6931471805599454,0.0,0.0,0.0,0.25,3.9999840000640003,0.7005945861367548,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.02_snr1.0,GCN,0.800125315785408,0.6931471805599454,1.0,0.800125315785408,0.6931471805599454,1.0,0.9999990000010001,0.5089187920513221,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.02_snr1.0,GraphSAGE,0.800125315785408,0.6931471805599454,0.0,0.0,0.0,1.0,0.9999990000010001,0.573892974495384,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.02_snr2.5,GCN,0.800125315785408,0.6931471805599454,1.0,0.800125315785408,0.6931471805599454,2.5,0.399999840000064,0.4939759036144578,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.02_snr2.5,GraphSAGE,0.800125315785408,0.6931471805599454,0.0,0.0,0.0,2.5,0.399999840000064,0.4981614770771397,0.19987468421459198,0.02,0.2,0.02
synth_h0.2_r0.04_snr0.25,GCN,0.800125315785408,0.0,1.0,0.800125315785408,0.0,0.25,3.9999840000640003,0.5716632764825536,0.19987468421459198,0.04,0.2,0.04
synth_h0.2_r0.04_snr0.25,GraphSAGE,0.800125315785408,0.0,0.0,0.0,0.0,0.25,3.9999840000640003,0.6726646847128774,0.19987468421459198,0.04,0.2,0.04
