dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.235,0.006966,0.382,0.3626,0.809,0.427,random_40_20_40,0.3808,0.6687,0.7476,0.7003,0.7631,0.697,0.0,0.0,0.7135,0.7135,0.7486,0.6937,,,0.5484,0.5362,0.0088,0.0384,0.2249,3.0972,1,,683.1,1.0,,0.3,1.0,2277.0,lbp_strong
Chameleon,GraphSAGE,lbp,"{""scale"": 0.12}",456,eac9960f8ba0,0.235,0.006966,0.4215,0.4527,0.9539,0.5324,random_40_20_40,0.4191,0.7157,0.8248,0.7629,0.8347,0.7618,0.0,0.0,0.7662,0.7662,0.825,0.7673,,,0.5616,0.5499,0.0088,0.0373,0.2306,3.0228,1,,273.24,1.0,,0.12,1.0,2277.0,lbp_equal_mass
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4446,0.6945,0.899,0.4544,random_40_20_40,0.4406,0.7339,0.8025,0.7256,0.803,0.719,0.0,0.0,0.7272,0.7272,0.8028,0.7256,,,0.5562,0.5445,0.0044,0.011,0.2511,9.293,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0,harp
Actor,GraphSAGE,none,{},42,eac9960f8ba0,0.2188,0.00052,0.327,0.325,0.903,0.576,random_40_20_40,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.788,0.788,0.8747,0.7993,,,0.6159,0.5855,0.0026,0.0303,0.2703,1.7919,1,,,,,,,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.2188,0.00052,0.297,0.2928,0.6562,0.3592,random_40_20_40,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,1.7382,1,,2280.0,1.0,,0.3,1.0,7600.0,lbp_strong
Actor,GraphSAGE,lbp,"{""scale"": 0.12}",42,eac9960f8ba0,0.2188,0.00052,0.3227,0.3349,0.8556,0.5329,random_40_20_40,0.3075,0.61,0.8275,0.7674,0.82,0.7612,0.0,0.0263,0.7664,0.7664,0.8275,0.7671,,,0.5762,0.5508,0.0053,0.0319,0.2463,1.6682,1,,912.0,1.0,,0.12,1.0,7600.0,lbp_equal_mass
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.2188,0.00052,0.3326,0.3928,0.7461,0.4135,random_40_20_40,0.3159,0.6267,0.7632,0.7171,0.7571,0.7089,0.0,0.0125,0.7067,0.7067,0.7722,0.7194,,,0.5615,0.5469,0.0036,0.0181,0.2546,5.6911,1,,912.6,0.4003,0.1532,0.1201,0.4003,3042.0,harp
Actor,GraphSAGE,none,{},123,eac9960f8ba0,0.2188,0.00052,0.3414,0.3375,0.9105,0.5691,random_40_20_40,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.7845,0.7845,0.872,0.7895,,,0.5983,0.5837,0.0053,0.0349,0.2554,1.7167,1,,,,,,,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.2188,0.00052,0.2849,0.2816,0.6618,0.377,random_40_20_40,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,1.698,1,,2280.0,1.0,,0.3,1.0,7600.0,lbp_strong
Actor,GraphSAGE,lbp,"{""scale"": 0.12}",123,eac9960f8ba0,0.2188,0.00052,0.3273,0.3289,0.8566,0.5293,random_40_20_40,0.3106,0.6276,0.825,0.7658,0.8168,0.7553,0.0,0.0461,0.7646,0.7646,0.8247,0.7628,,,0.5659,0.5595,0.0059,0.0332,0.2375,1.6988,1,,912.0,1.0,,0.12,1.0,7600.0,lbp_equal_mass
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.2188,0.00052,0.3257,0.4099,0.7635,0.4378,random_40_20_40,0.3059,0.6362,0.7719,0.7201,0.7604,0.7174,0.0,0.0184,0.7189,0.7189,0.7825,0.7283,,,0.5535,0.5497,0.0072,0.0217,0.2623,5.6267,1,,911.1,0.3996,0.1321,0.1199,0.3996,3037.0,harp
Actor,GraphSAGE,none,{},456,eac9960f8ba0,0.2188,0.00052,0.3375,0.3178,0.9095,0.572,random_40_20_40,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.786,0.786,0.8788,0.8013,,,0.6151,0.5868,0.0151,0.0444,0.2604,1.7078,1,,,,,,,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.2188,0.00052,0.2796,0.2809,0.653,0.3734,random_40_20_40,0.2645,0.572,0.7366,0.6924,0.7376,0.6947,0.0,0.026,0.6867,0.6867,0.7362,0.6908,,,0.5619,0.5467,0.0036,0.0349,0.2995,1.7319,1,,2280.0,1.0,,0.3,1.0,7600.0,lbp_strong
Actor,GraphSAGE,lbp,"{""scale"": 0.12}",456,eac9960f8ba0,0.2188,0.00052,0.323,0.3079,0.8484,0.5253,random_40_20_40,0.3088,0.6158,0.8315,0.7704,0.8173,0.7625,0.0,0.0421,0.7627,0.7627,0.8309,0.7661,,,0.5766,0.5535,0.0197,0.0382,0.2477,1.6945,1,,912.0,1.0,,0.12,1.0,7600.0,lbp_equal_mass
Actor,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.2188,0.00052,0.324,0.4099,0.7579,0.4339,random_40_20_40,0.3095,0.626,0.7811,0.7309,0.7651,0.7204,0.0,0.0194,0.7169,0.7169,0.7897,0.7342,,,0.5697,0.5551,0.0079,0.0181,0.2684,5.7258,1,,911.7,0.3999,0.1354,0.12,0.3999,3039.0,harp
