dataset,seed,constructor,spearman,pval
Chameleon,789,train_nbr,0.07155591846300745,0.0006331401395783537
Chameleon,789,confidence,0.1439916718335552,5.083945612581972e-12
Chameleon,789,entropy,-0.1319636854122793,2.594772522222755e-10
Chameleon,789,random,-0.0189013807462669,0.36731197443780567
Chameleon,1024,lte,0.002245130187141188,0.9147300730133063
Chameleon,1024,degree,0.012896300866786519,0.5385069529717377
Chameleon,1024,train_nbr,0.06496804753970759,0.0019240310557899919
Chameleon,1024,confidence,0.05820726573211898,0.005463399976080119
Chameleon,1024,entropy,-0.05919784640831255,0.004717370227881135
Chameleon,1024,random,-0.026108091417656975,0.21300237956439985
Citeseer,42,lte,0.2850488027418064,3.1478239141348214e-63
Citeseer,42,degree,0.17587460937079727,1.6063747155059965e-24
Citeseer,42,train_nbr,-0.0005020957300577157,0.9769044064915189
Citeseer,42,confidence,-0.31848926568208835,2.585102397194347e-79
Citeseer,42,entropy,0.31807655496290277,4.208288668779414e-79
Citeseer,42,random,0.012017537205453573,0.4883485112624077
Citeseer,123,lte,0.2912603740217279,4.677123479970361e-66
Citeseer,123,degree,0.19633540211094283,2.899150231864575e-30
Citeseer,123,train_nbr,-0.00034177403414654023,0.9842777679402777
Citeseer,123,confidence,-0.36987635640258215,2.2400862255540222e-108
Citeseer,123,entropy,0.3700862380271951,1.6599828894471676e-108
Citeseer,123,random,-0.02025958461827371,0.2427032351908671
Citeseer,456,lte,0.25952578575749885,2.3963971314620616e-52
Citeseer,456,degree,0.18957094193309423,2.72240316296034e-28
Citeseer,456,train_nbr,-0.03555631806063524,0.04028919485773194
Citeseer,456,confidence,-0.34848924194488257,1.3000923832881786e-95
Citeseer,456,entropy,0.3491697023246054,5.2830358841758995e-96
Citeseer,456,random,-0.00962329616715793,0.5789784845357959
Citeseer,789,lte,0.2819127879414585,7.919606419903826e-62
Citeseer,789,degree,0.1862070062631567,2.4473522280966695e-27
Citeseer,789,train_nbr,-0.02283538071260261,0.1878972963779876
Citeseer,789,confidence,-0.356895516980114,1.6369623993288028e-100
Citeseer,789,entropy,0.35638436270542767,3.282946160138183e-100
Citeseer,789,random,0.009427330408727102,0.5867321795235879
Citeseer,1024,lte,0.2681731092490179,6.6704457777119865e-56
Citeseer,1024,degree,0.19134149330274605,8.427645412715494e-29
Citeseer,1024,train_nbr,-0.04929848937731563,0.004452236283731289
Citeseer,1024,confidence,-0.3619444275634662,1.5803569802627505e-103
Citeseer,1024,entropy,0.36211034622359844,1.2552649817735254e-103
Citeseer,1024,random,-0.000628747207301727,0.9710809365457213
