dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Cora,GCN,epsd_tuned,test_auroc,0.9841599999999999,0.9841599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_tuned,conf_attack_auc,0.54592,0.54592,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_tuned,threshold_attack_auc,0.5569799999999999,0.5569799999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_tuned,shadow_attack_auc,0.5586,0.5586,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_tuned,label_only_attack_auc,0.52478,0.52478,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,dropedge,test_accuracy,0.87194,0.8743000000000001,0.0023600000000000066,-0.002571297918195514,0.007291297918195527,0.4723638603126361,0.2546658290800416,5,0.889015257879418,False
Cora,GCN,dropedge,test_auroc,0.9841599999999999,0.98458,0.0004199999999999982,-0.0001970957645743021,0.0010370957645742984,0.14803054913855002,0.13180085268217712,5,0.6172137491458051,False
Cora,GCN,dropedge,conf_attack_auc,0.54592,0.55648,0.010559999999999991,-0.019522958884676943,0.04064295888467693,0.8030371811947004,0.38493879078377546,5,1.0,False
Cora,GCN,dropedge,threshold_attack_auc,0.5569799999999999,0.56312,0.006140000000000034,0.003546437635106618,0.00873356236489345,1.4135687852590897,0.002772667233341182,5,0.04000968354272491,True
Cora,GCN,dropedge,shadow_attack_auc,0.5586,0.55686,-0.0017400000000000083,-0.010372288872090362,0.006892288872090345,-0.16819721635910417,0.6055768931752078,5,1.0,False
Cora,GCN,dropedge,label_only_attack_auc,0.52478,0.53574,0.010959999999999992,0.0001844595188324541,0.02173554048116753,0.7383527242405762,0.04763550495120779,5,0.3012451041377453,False
Cora,GCN,label_smoothing,test_accuracy,0.87194,0.874,0.002059999999999995,-0.0028399340057914738,0.006959934005791464,0.64151423446362,0.30794392790396014,5,0.9854205692926724,False
Cora,GCN,label_smoothing,test_auroc,0.9841599999999999,0.98224,-0.0019199999999999883,-0.002731368282504256,-0.0011086317174957205,-0.6535566684451475,0.0027771426501342206,5,0.04000968354272491,True
Cora,GCN,label_smoothing,conf_attack_auc,0.54592,0.5971599999999999,0.05123999999999997,0.03156685367528406,0.07091314632471589,4.226743130254711,0.001940084870197693,5,0.03492152766355848,True
Cora,GCN,label_smoothing,threshold_attack_auc,0.5569799999999999,0.5676,0.010620000000000008,0.006308546371136876,0.01493145362886314,2.2321566732715574,0.00239161771140091,5,0.03826588338241456,True
Cora,GCN,label_smoothing,shadow_attack_auc,0.5586,0.59116,0.03255999999999999,0.01388965043252095,0.05123034956747903,2.254737351623577,0.008388160779358805,5,0.08784692016201222,False
Cora,GCN,label_smoothing,label_only_attack_auc,0.52478,0.53416,0.009379999999999989,0.0014705905852628078,0.01728940941473717,0.5722491662141946,0.030139955507062048,5,0.23460289691983435,False
Cora,GCN,confidence_masking,test_accuracy,0.87194,0.87194,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,confidence_masking,test_auroc,0.9841599999999999,0.9677,-0.01646000000000001,-0.019426511738921196,-0.013493488261078823,-7.252086554259344,0.00010359949782745616,5,0.0031407005657165658,True
Cora,GCN,confidence_masking,conf_attack_auc,0.54592,0.5535,0.007579999999999987,0.0006508918608318821,0.014509108139168092,0.8492577408097639,0.03850572676489461,5,0.25203748427931016,False
Cora,GCN,confidence_masking,threshold_attack_auc,0.5569799999999999,0.55562,-0.0013599999999999613,-0.0031477374586986826,0.00042773745869876005,-0.27065279548102383,0.10224262722040224,5,0.5258192257049258,False
Cora,GCN,confidence_masking,shadow_attack_auc,0.5586,0.5623199999999999,0.00371999999999999,-0.0033886754962748405,0.01082867549627482,0.39018498584970907,0.21990100726596376,5,0.862964252853986,False
Cora,GCN,confidence_masking,label_only_attack_auc,0.52478,0.52478,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,test_accuracy,0.87194,0.87194,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,test_auroc,0.9841599999999999,0.9841599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,conf_attack_auc,0.54592,0.54592,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,threshold_attack_auc,0.5569799999999999,0.5569799999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,shadow_attack_auc,0.5586,0.5586,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,epsd_ablation,label_only_attack_auc,0.52478,0.52478,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GCN,dp_sgd,test_accuracy,0.87194,0.87166,-0.0002800000000000136,-0.0056968436886967785,0.005136843688696751,-0.04953580235796399,0.8928222660893085,5,1.0,False
Cora,GCN,dp_sgd,test_auroc,0.9841599999999999,0.9831199999999999,-0.0010399999999999964,-0.002432657779721778,0.00035265777972178533,-0.4064391980206452,0.10682093992300258,5,0.5433545081956674,False
Cora,GCN,dp_sgd,conf_attack_auc,0.54592,0.5408,-0.005120000000000013,-0.021829817525563677,0.01158981752556365,-0.4157198772569554,0.44285242900673677,5,1.0,False
Cora,GCN,dp_sgd,threshold_attack_auc,0.5569799999999999,0.5329200000000001,-0.02405999999999999,-0.029356100878035887,-0.018763899121964096,-4.999281530281522,0.00022743357077165875,5,0.006238177941165497,True
Cora,GCN,dp_sgd,shadow_attack_auc,0.5586,0.54506,-0.013539999999999996,-0.03172319314987377,0.004643193149873777,-1.018789794355599,0.10753891308039251,5,0.5433545081956674,False
