dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,eac9960f8ba0,0.7355,0.000823,0.7363,0.7579,1.0,0.2637,random_40_20_40,0.696,0.9019,0.6121,0.6349,0.6204,0.5567,0.0008,0.0188,0.6319,0.6319,0.6565,0.6341,,,0.5371,0.5274,0.0008,0.0105,0.233,1.8628,1,,,,,,,
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.7355,0.000823,0.7408,0.7534,0.9992,0.2585,random_40_20_40,0.7127,0.9136,0.6141,0.6319,0.614,0.547,0.0038,0.024,0.6292,0.6292,0.6653,0.6341,,,0.5492,0.5368,0.0038,0.0165,0.2255,1.8894,1,,,,,,,
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.7355,0.000823,0.7438,0.7398,0.9992,0.2554,random_40_20_40,0.7122,0.9184,0.6398,0.6296,0.6306,0.5725,0.003,0.0188,0.6277,0.6277,0.6292,0.6281,,,0.5512,0.5357,0.006,0.0376,0.2223,1.8785,1,,,,,,,
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,eac9960f8ba0,0.7355,0.000823,0.7325,0.8241,0.9684,0.2359,random_40_20_40,0.7022,0.8736,0.6438,0.6146,0.6464,0.586,0.0,0.0,0.618,0.618,0.6487,0.6221,,,0.525,0.5177,0.0015,0.021,0.0606,5.178,1,,458.0736,0.9997,,0.1377,0.3934,3326.0
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,eac9960f8ba0,0.7355,0.000823,0.734,0.8391,0.9669,0.2329,random_40_20_40,0.7073,0.8722,0.6524,0.6206,0.6437,0.5808,0.0,0.0,0.6165,0.6165,0.6486,0.6093,,,0.5343,0.5218,0.0068,0.0248,0.0408,5.1795,1,,473.9258,0.9997,,0.1424,0.407,3326.0
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,eac9960f8ba0,0.7355,0.000823,0.7378,0.8241,0.9677,0.2299,random_40_20_40,0.7024,0.8767,0.6519,0.6108,0.6429,0.5943,0.0,0.0,0.615,0.615,0.6512,0.6206,,,0.5367,0.5285,0.0195,0.0308,0.0487,5.1993,1,,472.2432,0.9997,,0.1419,0.4056,3326.0
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.7355,0.000823,0.713,0.806,0.9068,0.1938,random_40_20_40,0.6805,0.8853,0.5957,0.5883,0.5861,0.5267,0.0,0.0113,0.5969,0.5969,0.6498,0.6146,,,0.5331,0.5222,0.0023,0.0105,0.0984,5.2371,1,,399.0,0.3998,0.196,0.1199,0.3998,1330.0
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.7355,0.000823,0.716,0.8135,0.9181,0.2021,random_40_20_40,0.6882,0.8821,0.6245,0.6018,0.5852,0.5169,0.0,0.0278,0.6011,0.6011,0.6704,0.6108,,,0.5573,0.547,0.0015,0.0128,0.0968,5.2563,1,,398.7,0.3995,0.2074,0.1198,0.3995,1329.0
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.7355,0.000823,0.7183,0.7985,0.9121,0.1938,random_40_20_40,0.6863,0.8873,0.6525,0.5928,0.6024,0.5319,0.0,0.0233,0.5969,0.5969,0.6672,0.6191,,,0.5541,0.5387,0.0068,0.018,0.088,5.7175,1,,399.0,0.3998,0.1999,0.1199,0.3998,1330.0
Citeseer,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.7355,0.000823,0.7032,0.7699,0.9256,0.2224,random_40_20_40,0.6745,0.8715,0.6554,0.5928,0.6479,0.6048,0.0,0.009,0.6112,0.6112,0.6595,0.6026,,,0.5284,0.5285,0.0008,0.012,0.0918,5.7218,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
