dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,train_ratio
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7205,0.9527,0.2322,0.6959,0.8693,0.6455,0.6206,0.6351,0.5755,0.0,0.0,0.6525,0.6206,,,0.5494,0.5252,0.003,0.0203,0.0462,2.7532,1,,0.4
Citeseer,GraphSAGE,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7408,1.0,0.2592,0.7073,0.9131,0.7372,0.7295,0.7326,0.6566,0.0008,0.0128,0.737,0.731,,,0.6905,0.6071,0.0165,0.1172,0.153,3.3981,1,,0.4
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7415,0.9895,0.2479,0.7111,0.8799,0.6523,0.6168,0.6552,0.592,0.0,0.0,0.6471,0.6273,,,0.569,0.5353,0.0068,0.0301,0.0484,9.3616,1,,0.4
Citeseer,GraphSAGE,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7431,0.9992,0.2562,0.7171,0.9252,0.7395,0.7325,0.7393,0.6679,0.0075,0.0308,0.7394,0.7318,,,0.7023,0.618,0.0255,0.1074,0.1386,3.5576,1,,0.4
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7378,0.9872,0.2494,0.7133,0.8839,0.6617,0.6243,0.6502,0.5853,0.0,0.0,0.6672,0.6221,,,0.5703,0.5387,0.0105,0.0308,0.0365,10.2492,1,,0.4
Cora,GCN,none,{},42,eac9960f8ba0,0.81,0.00144,0.8799,0.9735,0.0937,0.8753,0.9861,0.5197,0.7719,0.5355,0.5115,0.0012,0.0055,0.5394,0.7747,,,0.5804,0.4211,0.0037,0.0283,0.0431,0.8135,1,,0.6
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8762,0.96,0.0838,0.8704,0.9634,0.5544,0.7664,0.5489,0.5208,0.0,0.0,0.5648,0.7655,,,0.5356,0.3887,0.0092,0.0191,0.1246,2.8192,1,,0.6
Cora,GCN,none,{},123,eac9960f8ba0,0.81,0.00144,0.8909,0.9754,0.0844,0.8814,0.9854,0.5412,0.7618,0.543,0.5162,0.0025,0.0209,0.5615,0.7636,,,0.5625,0.4132,0.0006,0.0185,0.0433,0.6847,1,,0.6
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8669,0.9588,0.0919,0.8524,0.9528,0.5235,0.759,0.5416,0.5263,0.0,0.0142,0.5401,0.7572,,,0.5159,0.3813,0.0049,0.0172,0.1141,2.6637,1,,0.6
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8983,1.0,0.1017,0.8921,0.9869,0.6064,0.8015,0.5875,0.5199,0.0,0.0037,0.6003,0.8042,,,0.6276,0.4492,0.0178,0.0997,0.044,1.8694,1,,0.6
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8965,0.9895,0.0931,0.8922,0.9615,0.5529,0.7756,0.5593,0.5199,0.0,0.0,0.5441,0.7775,,,0.5474,0.3929,0.0129,0.0178,0.1251,5.9171,1,,0.6
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8835,1.0,0.1165,0.8734,0.9833,0.595,0.7987,0.6025,0.5392,0.0,0.0142,0.595,0.7922,,,0.6307,0.4492,0.0375,0.072,0.0515,2.0793,1,,0.6
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8651,0.9938,0.1288,0.85,0.9559,0.545,0.7747,0.5649,0.5282,0.0,0.0166,0.5476,0.7784,,,0.5256,0.3892,0.0117,0.0172,0.1008,6.3561,1,,0.6
Citeseer,GCN,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7402,0.9564,0.2162,0.7082,0.9068,0.6235,0.7911,0.6176,0.5473,0.007,0.021,0.6234,0.7979,,,0.6066,0.441,0.004,0.0341,0.1589,2.0865,1,,0.6
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7192,0.9314,0.2121,0.6842,0.8717,0.6012,0.7746,0.6142,0.5473,0.0,0.0,0.5855,0.7739,,,0.5376,0.4038,0.0,0.0301,0.0608,3.6118,1,,0.6
Citeseer,GCN,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7432,0.9574,0.2142,0.7162,0.9312,0.6243,0.7956,0.5958,0.5308,0.006,0.0145,0.6511,0.7979,,,0.5962,0.4267,0.0005,0.0321,0.1515,1.3069,1,,0.6
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7342,0.9334,0.1991,0.7139,0.8766,0.6363,0.7896,0.6112,0.5398,0.0,0.0,0.6212,0.7896,,,0.5424,0.3944,0.015,0.0286,0.0299,3.4245,1,,0.6
Citeseer,GraphSAGE,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7417,0.9995,0.2578,0.7032,0.9122,0.7206,0.8505,0.7103,0.5826,0.0,0.0105,0.7247,0.8497,,,0.7025,0.503,0.001,0.1232,0.1545,3.8142,1,,0.6
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7402,0.982,0.2417,0.7067,0.8724,0.642,0.8017,0.6461,0.5639,0.0,0.0,0.6402,0.8009,,,0.5549,0.4072,0.0,0.0261,0.0451,11.1159,1,,0.6
Citeseer,GraphSAGE,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7492,0.999,0.2497,0.7204,0.9369,0.697,0.8415,0.6923,0.5872,0.0065,0.014,0.725,0.84,,,0.6985,0.4884,0.0045,0.0812,0.1365,4.3988,1,,0.6
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7523,0.9855,0.2332,0.7233,0.8812,0.664,0.8099,0.6434,0.5541,0.0,0.0,0.6443,0.8092,,,0.5495,0.3959,0.007,0.0256,0.0382,11.1454,1,,0.6
