dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,ece_test,actual_dp_epsilon,dp_delta,dp_clip_norm,dp_noise_multiplier,lambda_epsd,epsd_ablation,model_sha256,prediction_sha256,normal_loss_ep1,epsd_kl_loss_ep1,total_loss_ep1,normal_loss_final,epsd_kl_loss_final,total_loss_final
synthetic_high_sparse,MLP,none,{},7777,0.7995,0.005,0.043,0.72,0.7182,0.9086,,,,,,0.8673,0.8316,0.0526,0.0947,0.6947,0.8473,0.7789,0.0316,0.0895,0.6737,0.8475,0.8263,0.0316,0.0842,0.6737,,,,,,,0.1395,,,,,0.0,none,N/A,af99aed9ddacd1ca2b19eb1d002cdc644f583b6da15a3f5e478bfbff2020dda0,,,,,,
synthetic_high_sparse,MLP,none,{},9999,0.7995,0.005,0.0448,0.755,0.7481,0.9514,,,,,,0.805,0.7733,0.0,0.122,0.6089,0.782,0.7267,0.0465,0.0814,0.5523,0.779,0.7616,0.0465,0.0698,0.5465,,,,,,,0.1147,,,,,0.0,none,N/A,945fc91d83f1d3eb37063ffd82e7fe3eb9cdb7b2f0952b7f6a7e1bc40427d130,,,,,,
synthetic_high_sparse,GCN,none,{},42,0.7995,0.005,0.0,0.82,0.8171,0.9667,0.2748,0.6057,0.1721,0.4256,0.1027,0.7348,0.6512,0.0595,0.1667,0.3528,0.7066,0.6221,0.0814,0.157,0.3488,0.707,0.6395,0.0814,0.1628,0.3547,,,,,,,0.0973,,,,,0.0,none,75196e15508d2447612179e7894963f515a93847b9ea04ca5a885c0b8f2aa01d,13ecb8732829b7d3bea34bfa2415db770d29597dcdd3f557e1858f925aa9b28a,2.0297,0.0,2.0297,0.0156,0.0,0.0156
synthetic_high_sparse,GCN,none,{},123,0.7995,0.005,0.0,0.88,0.8791,0.977,0.3071,0.6282,0.2469,0.5201,0.0602,0.6746,0.6011,0.022,0.1209,0.2581,0.6321,0.5628,0.0383,0.1148,0.2295,0.6311,0.5929,0.0492,0.1148,0.224,,,,,,,0.0815,,,,,0.0,none,d1e71c93780d12d3a4b47b1bebf8d816591e85ca32aa3d387dc5ca6d4ecd56e7,a40a181b8119d18bdde1c2c7227480caa2c656229ad05d41bfa0e606c0884018,1.6614,0.0,1.6614,0.0541,0.0,0.0541
synthetic_high_sparse,GCN,none,{},456,0.7995,0.005,0.0,0.89,0.8886,0.9794,0.262,0.5701,0.2851,0.558,-0.0231,0.5787,0.5722,0.0109,0.0543,0.1955,0.6017,0.5561,0.0,0.0374,0.1979,0.602,0.5882,0.0214,0.0535,0.1925,,,,,,,0.0663,,,,,0.0,none,9ed1e3cbba41cfcbf5ad833b1ab489468350371d111c652ee5cd5dbcfe6210c4,b6d3c65f16a6edca7f6dc76f1824ff9cb97b49d156488a7746af976881bde7a2,2.2518,0.0,2.2518,0.0222,0.0,0.0222
synthetic_high_sparse,GCN,none,{},789,0.7995,0.005,0.0,0.88,0.8796,0.9741,0.27,0.5921,0.2799,0.5538,-0.01,0.6144,0.6043,0.0105,0.0421,0.2524,0.6437,0.6043,0.016,0.0428,0.2406,0.6437,0.6096,0.016,0.0428,0.2406,,,,,,,0.0796,,,,,0.0,none,6d5668810be1f649a349e0883f4618e94ed5c709bd8cf4cbb7b0ab0705f6e52b,bd2bb94025871743f179ee8e8578312cf42ae0ebf16ca5a08ca98ebc174feac0,2.2357,0.0,2.2357,0.0582,0.0,0.0582
synthetic_high_sparse,GCN,none,{},1024,0.7995,0.005,0.0,0.865,0.862,0.9828,0.2568,0.5851,0.239,0.505,0.0177,0.5947,0.5714,0.0778,0.1,0.2034,0.5949,0.5604,0.033,0.0879,0.1538,0.5935,0.5577,0.0495,0.0879,0.1593,,,,,,,0.0826,,,,,0.0,none,33bceba43d32dd03f908553e78ea74b80d9d2ec7cc5621d2e8b155c49e444e38,cd86daa39dd24a85e607ea4d9fb5c35306994cd5cd59acc90c14a189acdf4302,1.762,0.0,1.762,0.0543,0.0,0.0543
synthetic_high_sparse,GCN,none,{},2024,0.7995,0.005,0.0,0.845,0.8442,0.9618,0.2617,0.5797,0.2019,0.4714,0.0599,0.5909,0.6042,0.0,0.0632,0.2356,0.6003,0.5521,0.0104,0.0885,0.2344,0.5997,0.5885,0.0104,0.0885,0.2292,,,,,,,0.1147,,,,,0.0,none,cd52e2a344b9a08c1fb404aa1adf876f3d5ccd94b37e6b0b62db496ea4eedfbe,6696b9af88e8d4459927275000ca310afef84ebe52e95d68e4d1b95bdcf20f91,1.9272,0.0,1.9272,0.0487,0.0,0.0487
synthetic_high_sparse,GCN,none,{},3141,0.7995,0.005,0.0,0.895,0.8859,0.9859,0.2524,0.5951,0.2269,0.5086,0.0254,0.6326,0.5944,0.0122,0.0488,0.2675,0.6385,0.5833,0.0,0.1,0.2444,0.6386,0.6028,0.0111,0.1,0.2444,,,,,,,0.0627,,,,,0.0,none,06464e1be24f5d8c8aae34dc7be387db422cdcf687a954b19ef7e3bda30134b3,2433af096a5f9d5000742734b9b97b8666d9a595c0ef58348149e3bed87c28d2,2.1988,0.0,2.1988,0.0382,0.0,0.0382
synthetic_high_sparse,GCN,none,{},5000,0.7995,0.005,0.0,0.88,0.8816,0.9836,0.2651,0.5887,0.242,0.519,0.0231,0.6115,0.5579,0.0349,0.0465,0.2151,0.6573,0.6105,0.0,0.0895,0.2632,0.6571,0.6132,0.0368,0.1,0.2632,,,,,,,0.0771,,,,,0.0,none,8976bfe7e7d3cca43f68dd0fb95c0afa860bfcee86ed392980b45b7ef6f9cdc1,eb86811b0f64d04857d0dacc3f52a9f6d71aa49e67b3573dd0f9b3fe1a7192ac,1.8344,0.0,1.8344,0.0319,0.0,0.0319
synthetic_high_sparse,GCN,none,{},7777,0.7995,0.005,0.0,0.85,0.8474,0.9772,0.3575,0.6854,0.2649,0.5413,0.0925,0.6396,0.6211,0.0,0.0947,0.2737,0.6237,0.5789,0.0,0.0895,0.2474,0.6238,0.6132,0.0316,0.0895,0.2421,,,,,,,0.0821,,,,,0.0,none,4228cbc6e02d1c6caceb2df76327300f220272410ddd5dd2b8f536b7e9ecf8fa,3d8f9751f60f84a08e76568d9157f3f588fe077f9cd507a316860fce5698bd3d,1.9415,0.0,1.9415,0.0424,0.0,0.0424
synthetic_high_sparse,GCN,none,{},9999,0.7995,0.005,0.0,0.89,0.8867,0.9884,0.2994,0.65,0.2616,0.5322,0.0378,0.6269,0.5581,0.0976,0.1585,0.21,0.6028,0.564,0.0,0.1047,0.1919,0.6027,0.5901,0.0058,0.1047,0.1919,,,,,,,0.0865,,,,,0.0,none,af45932048944ba10c63bcebc836904a1d577eca61b744231d3d5db5a1bbaa6b,7349b236ac089debd5cb0ec5b47263ce44e198d052dabb059bb5e65dabd802f4,1.9694,0.0,1.9694,0.036,0.0,0.036
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",42,0.7995,0.005,0.0,0.785,0.7836,0.9638,0.2455,0.5262,0.1417,0.356,0.1037,0.7498,0.6337,0.0119,0.2143,0.4107,0.7183,0.657,0.0349,0.1977,0.3198,0.7175,0.6337,0.0349,0.1977,0.3314,,,,,,,0.0914,,,,,0.0,none,125e96337c1ed88c13c7fe3500e5dd0e42f1ad5ddd391f623c87e4f0ba9bb76a,4c04fa2b1993bd38e2e00a2cce0a1575f7c46cc36f0cb294a67bf194f9bf3588,2.3497,0.0,2.3497,0.0956,0.0,0.0956
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",123,0.7995,0.005,0.0,0.865,0.8611,0.9749,0.2719,0.5546,0.2162,0.4668,0.0557,0.6869,0.612,0.011,0.1209,0.3229,0.6436,0.5902,0.0219,0.153,0.2131,0.6389,0.5929,0.0273,0.153,0.2077,,,,,,,0.0414,,,,,0.0,none,a3652af260847de1d64b94711d3392bc7814985480fa487229452acd6a9911c3,7a8afedb8cba7c5da8de7250a4c8fc50aa15ce1deb4f303300a2a018b610368c,1.9817,0.0,1.9817,0.2443,0.0,0.2443
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",456,0.7995,0.005,0.0,0.88,0.8795,0.9756,0.2436,0.5405,0.2554,0.5128,-0.0118,0.5609,0.5936,0.0109,0.0435,0.2281,0.6121,0.5615,0.0214,0.0588,0.2353,0.6118,0.6123,0.0214,0.0588,0.2299,,,,,,,0.0558,,,,,0.0,none,98b5455320aacacbd548d448b51ddb6c87f1eb658f372e22acd027c29002878f,edb0b840ab4fdc414d45e6940a25deb58791e2b0f17c3b55136b795df81fcf45,2.4395,0.0,2.4395,0.1763,0.0,0.1763
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",789,0.7995,0.005,0.0,0.875,0.8731,0.9731,0.2333,0.5176,0.2359,0.477,-0.0027,0.6246,0.6043,0.0,0.0842,0.2531,0.6417,0.5989,0.0107,0.0749,0.2299,0.6396,0.6016,0.0321,0.0481,0.2299,,,,,,,0.0415,,,,,0.0,none,28e1c067cc596405d118af487d42f6b4016d49d86d5ac6d4033b61af53b458e5,2790f1e1bde8d8418b6fcac55759d3ebd39bf6056f0a130f73ac38515cd6fb1a,2.4074,0.0,2.4074,0.1844,0.0,0.1844
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",1024,0.7995,0.005,0.0,0.85,0.8482,0.976,0.2269,0.5117,0.2037,0.4543,0.0232,0.6042,0.5659,0.0556,0.1222,0.2007,0.5995,0.5769,0.0549,0.0934,0.1593,0.596,0.5495,0.0549,0.0934,0.1648,,,,,,,0.0652,,,,,0.0,none,799af191630d8ef6c2968b4d125047851c4c16e32303624246064a2d137cbc91,c50b2706399bf865f45894784e8c991fb221f499aaa56d76b9fadb8545d7dacd,1.9757,0.0,1.9757,0.2057,0.0,0.2057
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",2024,0.7995,0.005,0.0,0.82,0.8187,0.9644,0.2181,0.4941,0.1736,0.4071,0.0445,0.6126,0.5885,0.0,0.1263,0.2455,0.623,0.5521,0.0,0.1146,0.2083,0.6233,0.5938,0.0,0.1146,0.2135,,,,,,,0.0698,,,,,0.0,none,95c18df30ca454a1c90c4592756b33897123fafb068e37d5955abb14b70d279d,0c861a61a24878f2782c0d9dd7f05221ea716a21582c145b34f5679d0fa2d03b,2.2206,0.0,2.2206,0.2118,0.0,0.2118
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",3141,0.7995,0.005,0.0,0.875,0.8664,0.9855,0.2165,0.5073,0.2136,0.4794,0.0029,0.6192,0.5833,0.0122,0.0854,0.2474,0.6395,0.5778,0.0278,0.0778,0.25,0.6392,0.6139,0.0278,0.0778,0.25,,,,,,,0.0404,,,,,0.0,none,d1d845447eeebe87977743f1a4118663c1f0964db644cfbda9d44f69c4e29606,346e737575e7170d5c778dbf86dae5fc35e3f4d80fa67db302ff410632823ca1,2.4807,0.0,2.4807,0.2221,0.0,0.2221
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",5000,0.7995,0.005,0.0,0.875,0.8755,0.9798,0.2415,0.5413,0.226,0.4851,0.0155,0.6214,0.5579,0.0116,0.0465,0.2189,0.6738,0.6158,0.0316,0.0895,0.2947,0.6714,0.6237,0.0316,0.0895,0.3,,,,,,,0.0409,,,,,0.0,none,39bc2d6f4d8a5e2b4401c98dcdf93b397d4b530eb98925ee96644c6ecc215b0a,4e501fe861b2498ad38022548a39cad51d263f1fe16dc857dcae84f3b3126cbd,1.9279,0.0,1.9279,0.1564,0.0,0.1564
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",7777,0.7995,0.005,0.0,0.85,0.8497,0.9772,0.2997,0.5739,0.2225,0.4403,0.0772,0.6805,0.6526,0.0105,0.1053,0.3789,0.6576,0.6053,0.0053,0.0947,0.2842,0.6521,0.6158,0.0211,0.1105,0.2842,,,,,,,0.0539,,,,,0.0,none,fab464ab6ae821b04d40034309a26c128e085d3319ca5117496717086c503ad8,3955a37b3898006a7687e44373967c05439c573015d0f3fe43f0ab428ff9751b,2.1908,0.0,2.1908,0.2382,0.0,0.2382
synthetic_high_sparse,GCN,dropedge,"{""rate"": 0.3}",9999,0.7995,0.005,0.0,0.865,0.8614,0.986,0.2462,0.5331,0.2213,0.4624,0.0248,0.6512,0.5872,0.0976,0.1463,0.2794,0.6182,0.5756,0.0233,0.1221,0.2267,0.6189,0.5814,0.0581,0.1163,0.2267,,,,,,,0.0454,,,,,0.0,none,c212f5e7b7a1ef54e30117985734489da4cc99e5f62c216675c8f64135b9a37b,b1f23b04be26d01a61e19b7abf8ea745541bf051df7e52bb83580a388a24dd76,2.2416,0.0,2.2416,0.205,0.0,0.205
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",42,0.7995,0.005,0.0,0.815,0.8129,0.9659,0.2269,0.4554,0.1115,0.2758,0.1154,0.7471,0.7151,0.0238,0.1667,0.4356,0.7275,0.6628,0.0349,0.1395,0.3837,0.7275,0.6831,0.0407,0.1686,0.3837,,,,,,,0.0759,,,,,0.0,none,2e4907707d33f52662f4a083ccb20768aa2189090aa9336281f6446f937f637c,1aae2827e786b6b9ff7619869c6e21a3c35b0e3899cac32f162940bc7c0a4056,2.0314,0.0,2.0314,0.4753,0.0,0.4753
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",123,0.7995,0.005,0.0,0.865,0.8633,0.9796,0.2599,0.507,0.1713,0.3722,0.0886,0.6807,0.623,0.011,0.0879,0.3348,0.6493,0.5956,0.0055,0.0765,0.2623,0.6821,0.623,0.0109,0.1366,0.2787,,,,,,,0.1005,,,,,0.0,none,a6891eefd8ae2ad58c8e7750373b8f77f16a69203ecfcecdec54d4e6b3718a89,6cde0c1e0ec6ada8f204540e18621d7f65d073cfbe2f771a40b743eefca1f2c5,1.6914,0.0,1.6914,0.5146,0.0,0.5146
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",456,0.7995,0.005,0.0,0.86,0.8586,0.9747,0.2352,0.4763,0.2227,0.4482,0.0125,0.5915,0.5668,0.0,0.0,0.2068,0.6077,0.5561,0.0053,0.0321,0.2353,0.6076,0.6016,0.0053,0.0321,0.2353,,,,,,,0.0566,,,,,0.0,none,08ae9576849286acad90485269ff2ea0fbd91477a93f77e00112b6fb24e6bc9b,494cd6274d5d44d8ed45a75e6a1faace03639092ba61ae8839a360ed6c24b9da,2.23,0.0,2.23,0.5009,0.0,0.5009
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",789,0.7995,0.005,0.0,0.86,0.8596,0.9723,0.2221,0.4693,0.196,0.3922,0.0261,0.6411,0.6364,0.0,0.0105,0.2898,0.6555,0.6257,0.0053,0.0481,0.3102,0.685,0.6203,0.0107,0.1176,0.3048,,,,,,,0.0768,,,,,0.0,none,586f0080db8fb1aa539dadaf3508d2f5eec7c67c2138fec58cc1524100c927d2,87888fbadb1fcca31bdfc5ddca49dd05897fca215da3862b8454912aac8d6122,2.2256,0.0,2.2256,0.5216,0.0,0.5216
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",1024,0.7995,0.005,0.0,0.86,0.8587,0.9782,0.2227,0.4623,0.1759,0.3819,0.0469,0.6008,0.5989,0.0,0.0556,0.2382,0.6032,0.5989,0.0055,0.044,0.2033,0.65,0.5742,0.0055,0.0275,0.2418,,,,,,,0.0728,,,,,0.0,none,46a57b18f2e644d81af703911dc11d17849eba146f9189820586d448dac0ef63,6bb4a405172bd9ae61f68d4375e679ba62664dfd7df3817e79748e2c402abc94,1.8058,0.0,1.8058,0.5075,0.0,0.5075
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",2024,0.7995,0.005,0.0,0.84,0.839,0.9651,0.2176,0.4481,0.1632,0.3675,0.0544,0.618,0.625,0.0,0.0316,0.2744,0.6283,0.5625,0.0,0.0625,0.2604,0.6561,0.6224,0.0052,0.1146,0.2552,,,,,,,0.052,,,,,0.0,none,e64189736f818311bbd3cf5c225f60176095fc78d3f860a71e2beb73d68479e2,2cc602cb4abbc5015217dbdcd1444b04fc0703f6ae581b66c1aff1cdca2c694d,1.9334,0.0,1.9334,0.5146,0.0,0.5146
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",3141,0.7995,0.005,0.0,0.885,0.8779,0.9847,0.203,0.4359,0.1784,0.3916,0.0245,0.6489,0.6,0.0,0.0244,0.2902,0.6669,0.6278,0.0,0.0611,0.3056,0.6668,0.6389,0.0,0.0611,0.3056,,,,,,,0.103,,,,,0.0,none,9dd904fbe77338a3cfa6edffe355fb40189faaaf9f3c816dbabb010efa4d7e0b,8f0f8df6b905618002e8dc59920da9b42bb5a2427205980cbf05afb7c104fa8c,2.1956,0.0,2.1956,0.5053,0.0,0.5053
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",5000,0.7995,0.005,0.0,0.865,0.8662,0.9816,0.2352,0.4808,0.1823,0.384,0.0529,0.6014,0.5895,0.0,0.0233,0.2491,0.6614,0.6105,0.0,0.0421,0.3105,0.6624,0.6526,0.0,0.0368,0.3105,,,,,,,0.0986,,,,,0.0,none,27b86c2bafe425523885cfad59d00d55f3bda1dbec7c29ce6d103b8aa090c15e,f0b97f63b98996b310adf2b25ea3964f171474ddff0db5b67cca319ab08b4069,1.8592,0.0,1.8592,0.5039,0.0,0.5039
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",7777,0.7995,0.005,0.0,0.815,0.8133,0.9766,0.282,0.5083,0.1851,0.3748,0.0969,0.6542,0.6474,0.0,0.0316,0.3368,0.6408,0.6053,0.0053,0.0421,0.2895,0.6438,0.6342,0.0105,0.0579,0.2947,,,,,,,0.0742,,,,,0.0,none,d750c3cf7e3cc875479f6f956d498669a3826257e176005e4fe6bbf1b7781ff2,c2bd633a3858fdbe7022eef764e815aea87ef40c258d87aa634d7b8abe284b48,1.9429,0.0,1.9429,0.5076,0.0,0.5076
synthetic_high_sparse,GCN,label_smoothing,"{""alpha"": 0.1}",9999,0.7995,0.005,0.0,0.86,0.8557,0.9843,0.2344,0.4773,0.1831,0.389,0.0513,0.6165,0.6163,0.0854,0.1341,0.2569,0.6033,0.5581,0.0,0.0872,0.2209,0.6591,0.6134,0.0233,0.0872,0.2442,,,,,,,0.0566,,,,,0.0,none,5f0e4877a504c857f8a9fe193a48fec79659381e52c94fda8797f51329a49b1e,3c897e40fa57955e68398f022c12ba041163d2c0ec6b758511d4e6d49aae47eb,1.9841,0.0,1.9841,0.4974,0.0,0.4974
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",42,0.7995,0.005,0.0,0.82,0.8171,0.9667,0.2748,0.6057,0.1721,0.4256,0.1027,0.7348,0.6512,0.0595,0.1667,0.3528,0.7066,0.6221,0.0814,0.157,0.3488,0.707,0.6395,0.0814,0.1628,0.3547,,,,,,,0.0973,,,,,0.0,none,75196e15508d2447612179e7894963f515a93847b9ea04ca5a885c0b8f2aa01d,13ecb8732829b7d3bea34bfa2415db770d29597dcdd3f557e1858f925aa9b28a,2.0297,0.0,2.0297,0.0156,0.0,0.0156
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",123,0.7995,0.005,0.0,0.88,0.8791,0.977,0.3071,0.6282,0.2469,0.5201,0.0602,0.6746,0.6011,0.022,0.1209,0.2581,0.6321,0.5628,0.0383,0.1148,0.2295,0.6311,0.5929,0.0492,0.1148,0.224,,,,,,,0.0815,,,,,0.0,none,d1e71c93780d12d3a4b47b1bebf8d816591e85ca32aa3d387dc5ca6d4ecd56e7,a40a181b8119d18bdde1c2c7227480caa2c656229ad05d41bfa0e606c0884018,1.6614,0.0,1.6614,0.0541,0.0,0.0541
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",456,0.7995,0.005,0.0,0.89,0.8886,0.9794,0.262,0.5701,0.2851,0.558,-0.0231,0.5787,0.5722,0.0109,0.0543,0.1955,0.6017,0.5561,0.0,0.0374,0.1979,0.602,0.5882,0.0214,0.0535,0.1925,,,,,,,0.0663,,,,,0.0,none,9ed1e3cbba41cfcbf5ad833b1ab489468350371d111c652ee5cd5dbcfe6210c4,b6d3c65f16a6edca7f6dc76f1824ff9cb97b49d156488a7746af976881bde7a2,2.2518,0.0,2.2518,0.0222,0.0,0.0222
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",789,0.7995,0.005,0.0,0.88,0.8796,0.9741,0.27,0.5921,0.2799,0.5538,-0.01,0.6144,0.6043,0.0105,0.0421,0.2524,0.6437,0.6043,0.016,0.0428,0.2406,0.6437,0.6096,0.016,0.0428,0.2406,,,,,,,0.0796,,,,,0.0,none,6d5668810be1f649a349e0883f4618e94ed5c709bd8cf4cbb7b0ab0705f6e52b,bd2bb94025871743f179ee8e8578312cf42ae0ebf16ca5a08ca98ebc174feac0,2.2357,0.0,2.2357,0.0582,0.0,0.0582
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",1024,0.7995,0.005,0.0,0.865,0.862,0.9828,0.2568,0.5851,0.239,0.505,0.0177,0.5947,0.5714,0.0778,0.1,0.2034,0.5949,0.5604,0.033,0.0879,0.1538,0.5935,0.5577,0.0495,0.0879,0.1593,,,,,,,0.0826,,,,,0.0,none,33bceba43d32dd03f908553e78ea74b80d9d2ec7cc5621d2e8b155c49e444e38,cd86daa39dd24a85e607ea4d9fb5c35306994cd5cd59acc90c14a189acdf4302,1.762,0.0,1.762,0.0543,0.0,0.0543
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",2024,0.7995,0.005,0.0,0.845,0.8442,0.9618,0.2617,0.5797,0.2019,0.4714,0.0599,0.5909,0.6042,0.0,0.0632,0.2356,0.6003,0.5521,0.0104,0.0885,0.2344,0.5997,0.5885,0.0104,0.0885,0.2292,,,,,,,0.1147,,,,,0.0,none,cd52e2a344b9a08c1fb404aa1adf876f3d5ccd94b37e6b0b62db496ea4eedfbe,6696b9af88e8d4459927275000ca310afef84ebe52e95d68e4d1b95bdcf20f91,1.9272,0.0,1.9272,0.0487,0.0,0.0487
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",3141,0.7995,0.005,0.0,0.895,0.8859,0.9859,0.2524,0.5951,0.2269,0.5086,0.0254,0.6326,0.5944,0.0122,0.0488,0.2675,0.6385,0.5833,0.0,0.1,0.2444,0.6386,0.6028,0.0111,0.1,0.2444,,,,,,,0.0627,,,,,0.0,none,06464e1be24f5d8c8aae34dc7be387db422cdcf687a954b19ef7e3bda30134b3,2433af096a5f9d5000742734b9b97b8666d9a595c0ef58348149e3bed87c28d2,2.1988,0.0,2.1988,0.0382,0.0,0.0382
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",5000,0.7995,0.005,0.0,0.88,0.8816,0.9836,0.2651,0.5887,0.242,0.519,0.0231,0.6115,0.5579,0.0349,0.0465,0.2151,0.6573,0.6105,0.0,0.0895,0.2632,0.6571,0.6132,0.0368,0.1,0.2632,,,,,,,0.0771,,,,,0.0,none,8976bfe7e7d3cca43f68dd0fb95c0afa860bfcee86ed392980b45b7ef6f9cdc1,eb86811b0f64d04857d0dacc3f52a9f6d71aa49e67b3573dd0f9b3fe1a7192ac,1.8344,0.0,1.8344,0.0319,0.0,0.0319
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",7777,0.7995,0.005,0.0,0.85,0.8474,0.9772,0.3575,0.6854,0.2649,0.5413,0.0925,0.6396,0.6211,0.0,0.0947,0.2737,0.6237,0.5789,0.0,0.0895,0.2474,0.6238,0.6132,0.0316,0.0895,0.2421,,,,,,,0.0821,,,,,0.0,none,4228cbc6e02d1c6caceb2df76327300f220272410ddd5dd2b8f536b7e9ecf8fa,3d8f9751f60f84a08e76568d9157f3f588fe077f9cd507a316860fce5698bd3d,1.9415,0.0,1.9415,0.0424,0.0,0.0424
synthetic_high_sparse,GCN,early_stopping,"{""patience"": 15}",9999,0.7995,0.005,0.0,0.89,0.8867,0.9884,0.2994,0.65,0.2616,0.5322,0.0378,0.6269,0.5581,0.0976,0.1585,0.21,0.6028,0.564,0.0,0.1047,0.1919,0.6027,0.5901,0.0058,0.1047,0.1919,,,,,,,0.0865,,,,,0.0,none,af45932048944ba10c63bcebc836904a1d577eca61b744231d3d5db5a1bbaa6b,7349b236ac089debd5cb0ec5b47263ce44e198d052dabb059bb5e65dabd802f4,1.9694,0.0,1.9694,0.036,0.0,0.036
synthetic_high_sparse,GCN,confidence_masking,"{""top_k"": 2}",42,0.7995,0.005,0.0,0.82,0.8171,0.9377,0.2748,0.6057,0.1721,0.4256,0.1027,0.7292,0.6628,0.0595,0.1905,0.3582,0.7026,0.6105,0.0523,0.1802,0.3372,0.7025,0.6453,0.0756,0.1802,0.3372,,,,,,,0.1024,,,,,0.0,none,75196e15508d2447612179e7894963f515a93847b9ea04ca5a885c0b8f2aa01d,13ecb8732829b7d3bea34bfa2415db770d29597dcdd3f557e1858f925aa9b28a,2.0297,0.0,2.0297,0.0156,0.0,0.0156
synthetic_high_sparse,GCN,confidence_masking,"{""top_k"": 2}",123,0.7995,0.005,0.0,0.88,0.8791,0.9601,0.3071,0.6282,0.2469,0.5201,0.0602,0.6774,0.6011,0.022,0.1538,0.2772,0.6362,0.5683,0.0492,0.1148,0.2295,0.6349,0.612,0.0492,0.1202,0.2295,,,,,,,0.0752,,,,,0.0,none,d1e71c93780d12d3a4b47b1bebf8d816591e85ca32aa3d387dc5ca6d4ecd56e7,a40a181b8119d18bdde1c2c7227480caa2c656229ad05d41bfa0e606c0884018,1.6614,0.0,1.6614,0.0541,0.0,0.0541
synthetic_high_sparse,GCN,confidence_masking,"{""top_k"": 2}",456,0.7995,0.005,0.0,0.89,0.8886,0.9691,0.262,0.5701,0.2851,0.558,-0.0231,0.5807,0.5615,0.0109,0.0543,0.1962,0.6034,0.5615,0.0,0.0374,0.2032,0.6039,0.5802,0.0267,0.0535,0.2032,,,,,,,0.0659,,,,,0.0,none,9ed1e3cbba41cfcbf5ad833b1ab489468350371d111c652ee5cd5dbcfe6210c4,b6d3c65f16a6edca7f6dc76f1824ff9cb97b49d156488a7746af976881bde7a2,2.2518,0.0,2.2518,0.0222,0.0,0.0222
synthetic_high_sparse,GCN,confidence_masking,"{""top_k"": 2}",789,0.7995,0.005,0.0,0.88,0.8796,0.967,0.27,0.5921,0.2799,0.5538,-0.01,0.6097,0.6096,0.0105,0.0421,0.2527,0.6466,0.615,0.0107,0.0481,0.246,0.6466,0.6096,0.0107,0.0481,0.246,,,,,,,0.0778,,,,,0.0,none,6d5668810be1f649a349e0883f4618e94ed5c709bd8cf4cbb7b0ab0705f6e52b,bd2bb94025871743f179ee8e8578312cf42ae0ebf16ca5a08ca98ebc174feac0,2.2357,0.0,2.2357,0.0582,0.0,0.0582
