dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,pareto_lam,pareto_noise,pareto_lbp_scale,pareto_gtd_gamma
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",456,eac9960f8ba0,0.81,0.00144,0.8606,0.976,0.1154,0.8522,0.9567,0.5651,0.542,0.5661,0.5402,0.0,0.0,0.5451,0.5568,,,0.5233,0.5111,0.0018,0.0259,0.1348,4.7111,1,,0.25,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",456,eac9960f8ba0,0.81,0.00144,0.88,1.0,0.12,0.8714,0.9859,0.6229,0.6103,0.6172,0.5688,0.0,0.0185,0.6227,0.603,,,0.6172,0.5642,0.0406,0.0905,0.0465,4.6632,1,,0.5,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8772,0.9963,0.1191,0.8694,0.9647,0.5717,0.5559,0.5739,0.5402,0.0,0.0,0.556,0.5651,,,0.5275,0.5139,0.0028,0.024,0.0948,5.2113,1,,0.5,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",456,eac9960f8ba0,0.81,0.00144,0.8633,0.976,0.1127,0.8549,0.957,0.5636,0.5439,0.5646,0.5402,0.0,0.0,0.5462,0.5577,,,0.5164,0.5055,0.0028,0.0249,0.1358,4.5908,1,,0.5,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",456,eac9960f8ba0,0.81,0.00144,0.8809,0.9991,0.1182,0.8716,0.9862,0.6155,0.602,0.6108,0.5651,0.0,0.0194,0.6152,0.6011,,,0.5959,0.5485,0.0379,0.0859,0.0445,4.6071,1,,1.0,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.88,0.9954,0.1154,0.8714,0.9653,0.5705,0.5531,0.5717,0.5392,0.0,0.0,0.5582,0.5688,,,0.5238,0.512,0.0231,0.0259,0.0974,4.7234,1,,1.0,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",456,eac9960f8ba0,0.81,0.00144,0.8643,0.9714,0.1071,0.8551,0.9577,0.5632,0.5411,0.5625,0.5392,0.0,0.0,0.5478,0.5559,,,0.5141,0.5046,0.0018,0.0259,0.1382,4.957,1,,1.0,0.4,,
Cora,GraphSAGE,lbp,"{""scale"": 0.1}",456,eac9960f8ba0,0.81,0.00144,0.879,0.9991,0.12,0.8679,0.955,0.5816,0.554,0.5861,0.5457,0.0,0.0,0.5761,0.5771,,,0.5467,0.524,0.0222,0.0277,0.1393,1.653,1,,,,0.1,
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.81,0.00144,0.7239,0.8135,0.0896,0.7007,0.8999,0.5485,0.5503,0.5531,0.5346,0.0,0.0,0.5755,0.566,,,0.5288,0.5139,0.0111,0.0295,0.1513,1.5619,1,,,,0.3,
Cora,GraphSAGE,lbp,"{""scale"": 0.5}",456,eac9960f8ba0,0.81,0.00144,0.5125,0.5494,0.0369,0.4811,0.8214,0.526,0.5254,0.5269,0.5226,0.0,0.0,0.5322,0.5383,,,0.5183,0.5078,0.0,0.0268,0.0327,1.5508,1,,,,0.5,
Cora,GraphSAGE,gtd,"{""gamma"": 0.5, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.81,0.00144,0.8837,0.9991,0.1154,0.8764,0.9835,0.5846,0.5614,0.579,0.5392,0.0,0.0148,0.582,0.5697,,,0.601,0.5545,0.0231,0.0711,0.0851,1.9066,1,,,,,0.5
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.81,0.00144,0.8827,0.9991,0.1163,0.8746,0.9834,0.5818,0.5577,0.5765,0.5392,0.0,0.0148,0.5643,0.5734,,,0.5977,0.5522,0.024,0.0739,0.0848,1.5451,1,,,,,1.0
Cora,GraphSAGE,gtd,"{""gamma"": 2.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.81,0.00144,0.88,0.9991,0.1191,0.872,0.9832,0.5783,0.5568,0.5729,0.5383,0.0,0.0148,0.5667,0.578,,,0.5933,0.5489,0.0212,0.0776,0.0913,1.5198,1,,,,,2.0
