dataset,model,defense,defense_params,n_seeds,test_accuracy,test_f1,shadow_attack_auc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,conf_attack_auc,conf_attack_tpr01,label_only_attack_auc,label_only_attack_tpr01,test_accuracy_p_val,test_accuracy_fdr_q_val,test_f1_p_val,test_f1_fdr_q_val,shadow_attack_auc_p_val,shadow_attack_auc_fdr_q_val,shadow_attack_tpr01_p_val,shadow_attack_tpr01_fdr_q_val,shadow_attack_tpr05_p_val,shadow_attack_tpr05_fdr_q_val,shadow_attack_adv_p_val,shadow_attack_adv_fdr_q_val,conf_attack_auc_p_val,conf_attack_auc_fdr_q_val,conf_attack_tpr01_p_val,conf_attack_tpr01_fdr_q_val,label_only_attack_auc_p_val,label_only_attack_auc_fdr_q_val,label_only_attack_tpr01_p_val,label_only_attack_tpr01_fdr_q_val
synthetic_high_sparse,GraphSAGE,label_smoothing,"{""alpha"": 0.05}",10,"0.8400 (0.8235, 0.8570)","0.8390 (0.8224, 0.8562)","0.8085 (0.7952, 0.8232)","0.0239 (0.0075, 0.0477)","0.1118 (0.0752, 0.1523)","0.5634 (0.5383, 0.5900)","0.8057 (0.7880, 0.8239)","0.0013 (0.0000, 0.0038)","0.7035 (0.6856, 0.7213)","0.0195 (0.0075, 0.0320)",0.017641047709105122,0.05914939525994071,0.017633258985414808,0.06128632696150268,1.2073623020463044e-08,1.5796323451772483e-07,0.5912304023708516,0.8269077646235701,0.8083896743085786,0.9075827910535229,7.68090695298251e-09,1.1484784682078608e-07,1.6249609189328858e-08,3.401584856966174e-07,0.06353811170570747,0.3399603377447811,0.001403374529150158,0.007616139579230851,0.729644154971228,0.9138751171333527
synthetic_high_sparse,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",10,"0.8345 (0.8160, 0.8515)","0.8336 (0.8139, 0.8516)","0.8470 (0.8273, 0.8666)","0.0513 (0.0295, 0.0751)","0.2189 (0.1658, 0.2689)","0.6110 (0.5805, 0.6444)","0.8121 (0.7952, 0.8272)","0.0000 (0.0000, 0.0000)","0.7092 (0.6907, 0.7248)","0.0163 (0.0076, 0.0276)",0.007718997401514498,0.033332034233812605,0.009315307713555087,0.039042098505341176,2.022273957095661e-09,5.772672932073069e-08,0.30325398900387707,0.642830991191058,0.009550268614902976,0.07139962726379843,2.6976008015618e-09,5.6469776779360345e-08,3.54341203624358e-08,6.544890466944024e-07,0.07277106271214165,0.3399603377447811,0.0014310580738045228,0.007616139579230851,0.9307075884336574,0.9784973449319558
synthetic_high_sparse,GraphSAGE,label_smoothing,"{""alpha"": 0.2}",10,"0.8340 (0.8120, 0.8525)","0.8328 (0.8113, 0.8508)","0.8571 (0.8425, 0.8709)","0.0708 (0.0482, 0.0964)","0.2326 (0.1838, 0.2879)","0.6379 (0.6023, 0.6722)","0.8114 (0.7914, 0.8293)","0.0000 (0.0000, 0.0000)","0.6987 (0.6800, 0.7197)","0.0113 (0.0057, 0.0182)",0.009075456999389785,0.036950074926086984,0.007462071885692411,0.03222258314276268,4.556279262673484e-10,3.004458974380471e-08,0.08288430847160269,0.3578622469402542,0.0029396691315847763,0.030768536910587327,6.292851703905554e-08,6.174860734457325e-07,2.0484474811534963e-07,3.062916709915228e-06,0.07277106271214165,0.3399603377447811,0.01364344281135619,0.04119270233428696,0.400187177647339,0.8522161625522906
synthetic_high_sparse,GraphSAGE,none,{},10,"0.8535 (0.8370, 0.8700)","0.8522 (0.8354, 0.8674)","0.7223 (0.7112, 0.7341)","0.0314 (0.0170, 0.0492)","0.1187 (0.0966, 0.1423)","0.3928 (0.3712, 0.4149)","0.7412 (0.7217, 0.7608)","0.0241 (0.0061, 0.0497)","0.6727 (0.6554, 0.6919)","0.0170 (0.0070, 0.0296)",,,,,,,,,,,,,,,,,,,,
synthetic_low_dense,GCN,dropedge,"{""rate"": 0.1}",10,"0.5980 (0.5755, 0.6205)","0.5959 (0.5723, 0.6182)","0.6570 (0.6434, 0.6719)","0.0138 (0.0063, 0.0256)","0.0750 (0.0581, 0.0925)","0.2963 (0.2706, 0.3306)","0.6819 (0.6598, 0.7090)","0.0262 (0.0120, 0.0427)","0.5739 (0.5554, 0.5907)","0.0113 (0.0063, 0.0163)",0.9270055366312352,0.9490472301436955,0.8769066170721351,0.9147033978521001,0.01884656183337196,0.034810708327522324,0.5420523737871336,0.8007916401679597,0.31644850468873587,0.6369540414888658,0.43054966156365543,0.5120931580719235,0.6672048175703834,0.7368047293733017,0.40085253421030836,0.6781991524747379,0.7233642288444114,0.7997759431589619,0.44298046729307194,0.8522161625522906
synthetic_low_dense,GCN,dropedge,"{""rate"": 0.2}",10,"0.5875 (0.5660, 0.6075)","0.5853 (0.5639, 0.6047)","0.6620 (0.6451, 0.6804)","0.0156 (0.0081, 0.0231)","0.1013 (0.0888, 0.1175)","0.2950 (0.2637, 0.3344)","0.6824 (0.6586, 0.7085)","0.0353 (0.0159, 0.0572)","0.5688 (0.5511, 0.5855)","0.0094 (0.0050, 0.0137)",0.33560446873884786,0.5071470098409604,0.3086592941146644,0.4729456925950503,0.2122290880034128,0.29617748281365164,0.5274682592406537,0.7975727784653361,0.33928195348355034,0.6445877965216733,0.42751318600716354,0.5104149825332676,0.6687558849407356,0.7368047293733017,0.2377753932811652,0.5472330742426816,0.4800304612928392,0.622836567454678,0.3155639348924106,0.8522161625522906
synthetic_low_dense,GCN,dropedge,"{""rate"": 0.3}",10,"0.5795 (0.5560, 0.6010)","0.5757 (0.5512, 0.5957)","0.6595 (0.6426, 0.6778)","0.0294 (0.0162, 0.0438)","0.1012 (0.0813, 0.1194)","0.2906 (0.2706, 0.3144)","0.6836 (0.6587, 0.7099)","0.0212 (0.0090, 0.0354)","0.5845 (0.5707, 0.5987)","0.0131 (0.0075, 0.0200)",0.030694049662741123,0.09018354797815692,0.02011935030611308,0.06590821652002561,0.06158612339324567,0.10071897263270385,0.26103249014237767,0.6054981460200438,0.5780557102618861,0.7790106996662327,0.05503155592812598,0.08512270227306186,0.6121105594968936,0.7055646159343091,0.82611532705545,0.931161606057857,0.6346138833812843,0.7435401469467287,0.7283151768801187,0.9138751171333527
synthetic_low_dense,GCN,dropedge,"{""rate"": 0.5}",10,"0.5485 (0.5180, 0.5750)","0.5415 (0.5071, 0.5704)","0.6478 (0.6304, 0.6672)","0.0331 (0.0194, 0.0456)","0.1106 (0.0906, 0.1300)","0.2619 (0.2369, 0.2894)","0.6624 (0.6365, 0.6911)","0.0345 (0.0207, 0.0497)","0.5752 (0.5529, 0.5941)","0.0150 (0.0075, 0.0238)",0.00019069068985825204,0.0023629063743305146,0.00017483069339245045,0.002264852164402199,0.020592313094191957,0.03694849320900728,0.17896594688046985,0.5235172090989445,0.23021547079614385,0.5267791656605002,0.001518347604722452,0.003531564058391481,0.22631608088939123,0.3259782082535268,0.12409479218242933,0.39443292195479357,0.6723797011821487,0.7705373217926814,0.9179565170468997,0.9784973449319558
synthetic_low_dense,GCN,edge_sparsification,"{""rate"": 0.05}",10,"0.5930 (0.5640, 0.6180)","0.5926 (0.5656, 0.6181)","0.6746 (0.6632, 0.6855)","0.0250 (0.0150, 0.0363)","0.0837 (0.0587, 0.1069)","0.3212 (0.2962, 0.3469)","0.6794 (0.6577, 0.6994)","0.0123 (0.0049, 0.0205)","0.5639 (0.5461, 0.5800)","0.0088 (0.0057, 0.0132)",0.5258361339689275,0.6487588665850403,0.620037143964786,0.7321225181235249,0.3424022752568812,0.42134030244483694,0.43567442105573256,0.7270267101872337,0.4997227098470077,0.7390610064876596,0.07830234217653165,0.1138284048306988,0.9907936571576649,0.9907936571576648,0.3291314251703514,0.6396723883537412,0.1374009434835745,0.24653655002195657,0.20831350231016893,0.8522161625522906
synthetic_low_dense,GCN,edge_sparsification,"{""rate"": 0.1}",10,"0.5800 (0.5515, 0.6060)","0.5803 (0.5539, 0.6052)","0.6814 (0.6556, 0.7043)","0.0356 (0.0200, 0.0550)","0.1044 (0.0794, 0.1275)","0.3294 (0.3012, 0.3569)","0.6901 (0.6670, 0.7101)","0.0257 (0.0113, 0.0398)","0.5685 (0.5500, 0.5866)","0.0063 (0.0013, 0.0131)",0.09654980000630327,0.2142243411524704,0.1158671804901826,0.24553367783316712,0.2496356070640992,0.33933151782739024,0.1839223205026404,0.5239439388866141,0.4646948839522812,0.734172782254382,0.06467771819380397,0.09717130867394472,0.30976911614408714,0.43038717906744856,0.1451767174671891,0.4172330867880538,0.36061776708792326,0.5100629678630987,0.2194013368206319,0.8522161625522906
synthetic_low_dense,GCN,edge_sparsification,"{""rate"": 0.2}",10,"0.5785 (0.5615, 0.5970)","0.5780 (0.5588, 0.5959)","0.6947 (0.6691, 0.7176)","0.0194 (0.0081, 0.0319)","0.1069 (0.0844, 0.1406)","0.3513 (0.3175, 0.3850)","0.6931 (0.6738, 0.7116)","0.0162 (0.0037, 0.0332)","0.5736 (0.5531, 0.5927)","0.0163 (0.0075, 0.0256)",0.08395604939999345,0.1929635006370817,0.08903701996537924,0.2114629224177757,0.04954647179491271,0.08275314970001378,0.949305433132641,0.9742052477721858,0.34624732047624973,0.6506075654235418,0.005590240048159842,0.011624737583590665,0.16779210379466064,0.2545252202489055,0.6512424540147104,0.8361509801042255,0.6538195538925968,0.7547769850083654,0.9335927122429365,0.9784973449319558
