dataset,model,defense,defense_params,n_seeds,test_accuracy,test_f1,shadow_attack_auc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,conf_attack_auc,conf_attack_tpr01,label_only_attack_auc,label_only_attack_tpr01,test_accuracy_p_val,test_accuracy_fdr_q_val,test_f1_p_val,test_f1_fdr_q_val,shadow_attack_auc_p_val,shadow_attack_auc_fdr_q_val,shadow_attack_tpr01_p_val,shadow_attack_tpr01_fdr_q_val,shadow_attack_tpr05_p_val,shadow_attack_tpr05_fdr_q_val,shadow_attack_adv_p_val,shadow_attack_adv_fdr_q_val,conf_attack_auc_p_val,conf_attack_auc_fdr_q_val,conf_attack_tpr01_p_val,conf_attack_tpr01_fdr_q_val,label_only_attack_auc_p_val,label_only_attack_auc_fdr_q_val,label_only_attack_tpr01_p_val,label_only_attack_tpr01_fdr_q_val
synthetic_high_dense,GCN,epsd_tuned,"{""lambda_epsd"": 0.1}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5053 (0.4826, 0.5300)","0.0081 (0.0006, 0.0200)","0.0432 (0.0256, 0.0594)","0.0732 (0.0500, 0.0981)","0.5333 (0.5121, 0.5513)","0.0238 (0.0077, 0.0416)","0.5025 (0.4881, 0.5177)","0.0000 (0.0000, 0.0000)",,,,,0.004187107943941638,0.009130221488872738,0.9916707355473159,1.0,0.7766333511851672,0.8903110381890156,0.2853058444542332,0.36123401273640815,0.2960656161767863,0.418759475132932,0.34343639613791355,0.6396723883537412,0.7008556770169898,0.7887766400836373,,
synthetic_high_dense,GCN,epsd_tuned,"{""lambda_epsd"": 0.3}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5066 (0.4858, 0.5314)","0.0056 (0.0006, 0.0119)","0.0475 (0.0307, 0.0644)","0.0763 (0.0537, 0.0994)","0.5307 (0.5108, 0.5504)","0.0237 (0.0071, 0.0440)","0.5041 (0.4887, 0.5202)","0.0000 (0.0000, 0.0000)",,,,,0.00877648974865227,0.017441884690359576,0.2236799314137933,0.6035501597630802,0.11201625891858594,0.314045583039607,0.051045927623117576,0.0801421063682946,0.3520314185045498,0.4785188978806434,0.336781149724271,0.6396723883537412,0.8315801954432054,0.8823308029863234,,
synthetic_high_dense,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5079 (0.4854, 0.5319)","0.0063 (0.0019, 0.0113)","0.0581 (0.0350, 0.0881)","0.0794 (0.0507, 0.1087)","0.5272 (0.5073, 0.5466)","0.0264 (0.0073, 0.0520)","0.5014 (0.4852, 0.5172)","0.0000 (0.0000, 0.0000)",,,,,0.12380752849738579,0.18251438473323536,0.6855681973005527,0.8507560694818891,0.06956494904584738,0.2568823622887704,0.31138718381562536,0.3849432114886077,0.46024042093682316,0.5706077739789641,0.4280378570663878,0.6977908815717676,0.6220274533473034,0.7315229226631208,,
synthetic_high_dense,GCN,epsd_tuned,"{""lambda_epsd"": 10.0}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5062 (0.4859, 0.5281)","0.0075 (0.0031, 0.0131)","0.0657 (0.0425, 0.0875)","0.0663 (0.0426, 0.0913)","0.5256 (0.5047, 0.5437)","0.0202 (0.0075, 0.0385)","0.5016 (0.4792, 0.5206)","0.0000 (0.0000, 0.0000)",,,,,0.36175132210086725,0.4385711009253757,0.9065784312531049,0.9572117485424074,0.01508041868734007,0.09781097858327233,0.6959781271969283,0.7535763170339155,0.5849492163420108,0.6851045811051832,0.8784738737102009,0.9435343302768944,0.686955346556299,0.7787147249771764,,
synthetic_high_dense,GCN,epsd_tuned,"{""lambda_epsd"": 3.0}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5078 (0.4855, 0.5318)","0.0081 (0.0038, 0.0138)","0.0632 (0.0413, 0.0863)","0.0726 (0.0432, 0.1007)","0.5215 (0.5006, 0.5400)","0.0263 (0.0100, 0.0446)","0.5003 (0.4818, 0.5148)","0.0000 (0.0000, 0.0000)",,,,,0.15579174820559955,0.22337264354592812,0.998424052646998,1.0,0.010334445779453583,0.07546548778484709,0.6098668462389019,0.6752794724215968,0.6576250514385837,0.7348550396858196,0.37853791954987354,0.6582353823283912,0.5956367064369208,0.7111404023619511,,
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.01}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5033 (0.4812, 0.5275)","0.0119 (0.0069, 0.0181)","0.0638 (0.0419, 0.0894)","0.0676 (0.0476, 0.0907)","0.5206 (0.4896, 0.5438)","0.0182 (0.0036, 0.0421)","0.4997 (0.4814, 0.5182)","0.0000 (0.0000, 0.0000)",,,,,0.9965854628366113,0.9965854628366112,0.4687299229346039,0.7485329891761787,0.04385522397574132,0.20250794600562902,0.8661380401436074,0.891696211819976,0.3823115593889572,0.5065224879668041,0.7528250042014577,0.8891366785955198,0.22365375826016723,0.35290090499342974,,
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.05}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5013 (0.4830, 0.5217)","0.0025 (0.0006, 0.0044)","0.0431 (0.0294, 0.0575)","0.0695 (0.0494, 0.0907)","0.5223 (0.4917, 0.5448)","0.0100 (0.0000, 0.0222)","0.5074 (0.4911, 0.5263)","0.0000 (0.0000, 0.0000)",,,,,0.8234126021145848,0.8589752726378059,0.271461277150462,0.6054981460200438,0.9524867303035484,0.9805928961157842,0.938388965619073,0.9444042795012465,0.4295750820636432,0.5438974829354193,0.039792701457230434,0.3399603377447811,0.8465378337924453,0.8919895295665363,,
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5035 (0.4850, 0.5216)","0.0025 (0.0006, 0.0044)","0.0375 (0.0251, 0.0494)","0.0707 (0.0507, 0.0901)","0.5235 (0.4926, 0.5457)","0.0127 (0.0014, 0.0270)","0.5159 (0.4983, 0.5312)","0.0000 (0.0000, 0.0000)",,,,,0.9740746670792662,0.9866433724609341,0.271461277150462,0.6054981460200438,0.4361171422534452,0.7147780715318727,0.7328603717018597,0.785386200390389,0.30596637232746926,0.4288992897804703,0.11625494334534645,0.3790395548655567,0.02828685841736917,0.07665121998329669,,
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.2}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5134 (0.4939, 0.5324)","0.0069 (0.0038, 0.0106)","0.0444 (0.0313, 0.0606)","0.0870 (0.0644, 0.1113)","0.5225 (0.4884, 0.5475)","0.0127 (0.0000, 0.0302)","0.5174 (0.5034, 0.5331)","0.0000 (0.0000, 0.0000)",,,,,0.24940099361123827,0.33933151782739024,0.7772218563143919,0.8943766214206054,0.951488413344667,0.9805928961157842,0.005896643266600607,0.012181223590214412,0.35733264748545424,0.4793192538012697,0.08653220337176973,0.34427155675539634,0.09742116395509923,0.18882867581420468,,
synthetic_high_dense,GCN,none,{},10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5033 (0.4803, 0.5297)","0.0081 (0.0013, 0.0175)","0.0438 (0.0282, 0.0600)","0.0688 (0.0464, 0.0920)","0.5139 (0.4853, 0.5390)","0.0212 (0.0052, 0.0404)","0.5061 (0.4902, 0.5200)","0.0000 (0.0000, 0.0000)",,,,,,,,,,,,,,,,,,,,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.1}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6149 (0.5871, 0.6376)","0.0150 (0.0082, 0.0219)","0.0876 (0.0725, 0.1040)","0.2128 (0.1775, 0.2475)","0.6300 (0.6058, 0.6552)","0.0095 (0.0013, 0.0187)","0.5672 (0.5494, 0.5820)","0.0000 (0.0000, 0.0000)",,,,,0.34785425853184443,0.42500481392606676,0.3464955070980437,0.6589208148677645,0.6227796487937127,0.8114224469760407,0.031565964463725,0.05176437648066406,0.2175319126237095,0.3176977700643943,0.09206457643929203,0.35141722470120007,0.7626318291193876,0.831480535914888,,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.2}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6123 (0.5841, 0.6355)","0.0144 (0.0081, 0.0219)","0.0895 (0.0764, 0.1031)","0.2066 (0.1722, 0.2397)","0.6256 (0.6027, 0.6502)","0.0084 (0.0012, 0.0166)","0.5652 (0.5514, 0.5777)","0.0000 (0.0000, 0.0000)",,,,,0.8909723006778991,0.9177626102041491,0.3638965176536964,0.6699977060329823,0.3607835532610515,0.6532566982934795,0.19862957994253364,0.2609610380834961,0.6399547581193412,0.7235803954783908,0.08799273016112368,0.34427155675539634,0.87646491506632,0.9112913355325313,,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6129 (0.5895, 0.6380)","0.0169 (0.0107, 0.0244)","0.0801 (0.0625, 0.0988)","0.2147 (0.1756, 0.2483)","0.6197 (0.5971, 0.6461)","0.0170 (0.0064, 0.0277)","0.5685 (0.5548, 0.5815)","0.0000 (0.0000, 0.0000)",,,,,0.7519871149601465,0.8142205313706414,0.8392674678505089,0.9299199753088317,0.6539413278679194,0.8204395006877949,0.04420940233400633,0.06975754941144718,0.6154884705953222,0.7055646159343091,0.8359629754065745,0.931161606057857,0.6655439112040296,0.7654973923738655,,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.5}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6243 (0.6022, 0.6439)","0.0225 (0.0151, 0.0300)","0.0826 (0.0646, 0.0999)","0.2353 (0.2031, 0.2650)","0.6335 (0.6114, 0.6608)","0.0158 (0.0064, 0.0276)","0.5744 (0.5615, 0.5905)","0.0069 (0.0013, 0.0125)",,,,,0.04764920574656139,0.08044005701301224,0.15303609007795932,0.47900296194401265,0.88234948215043,0.9518794261461908,0.0003686613449611846,0.0010068316295947961,0.2222398993587069,0.3230709648084906,0.6441423321594881,0.8361509801042255,0.3309777798560062,0.4789263726948661,0.048080825076292924,0.688392717747149
synthetic_high_dense,GraphSAGE,edge_sparsification,"{""rate"": 0.05}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6113 (0.5852, 0.6367)","0.0213 (0.0137, 0.0294)","0.0964 (0.0800, 0.1102)","0.2072 (0.1737, 0.2411)","0.6161 (0.5890, 0.6437)","0.0187 (0.0072, 0.0312)","0.5539 (0.5297, 0.5805)","0.0019 (0.0000, 0.0056)",,,,,0.8074316463829021,0.8521603513294269,0.31491629460809717,0.6589208148677645,0.12024984405974024,0.32833435682398643,0.4441791374125948,0.5222103138354824,0.10767719119072737,0.18375346757548042,0.9160630482084758,0.9621736043263521,0.37958855497666,0.527392948064917,0.3434363961379137,0.8522161625522906
synthetic_high_dense,GraphSAGE,edge_sparsification,"{""rate"": 0.1}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6132 (0.5874, 0.6375)","0.0219 (0.0125, 0.0319)","0.0883 (0.0725, 0.1067)","0.2010 (0.1669, 0.2364)","0.6190 (0.5916, 0.6473)","0.0160 (0.0063, 0.0271)","0.5501 (0.5241, 0.5768)","0.0025 (0.0000, 0.0075)",,,,,0.5650402909318467,0.6443843262556079,0.3549420011936222,0.6674329956503458,0.6403035046280371,0.8204395006877949,0.852973029117049,0.8817374740473017,0.2339720780202287,0.3354668150609672,0.7316515856330426,0.8891366785955198,0.22005278135810455,0.35074402713931385,0.34343639613791355,0.8522161625522906
synthetic_high_dense,GraphSAGE,edge_sparsification,"{""rate"": 0.2}",10,"0.9990 (0.9975, 1.0000)","0.9990 (0.9976, 1.0000)","0.6153 (0.5903, 0.6394)","0.0213 (0.0119, 0.0326)","0.0945 (0.0720, 0.1208)","0.2078 (0.1719, 0.2373)","0.6194 (0.5954, 0.6457)","0.0174 (0.0040, 0.0341)","0.5497 (0.5256, 0.5719)","0.0013 (0.0000, 0.0038)",0.16785065605707503,0.31063270763809336,0.16845829453783606,0.3097458964082792,0.11956406787732722,0.17883532353784368,0.4328175604643859,0.7270267101872337,0.46356956998939985,0.734172782254382,0.1651105279780399,0.22639609513146083,0.3553555461734015,0.4793192538012697,0.9359072525657891,0.9797289968330835,0.08739490521859543,0.17547156473339354,0.34343639613791355,0.8522161625522906
synthetic_high_dense,GraphSAGE,edge_sparsification,"{""rate"": 0.3}",10,"0.9985 (0.9970, 1.0000)","0.9985 (0.9971, 1.0000)","0.6119 (0.5896, 0.6348)","0.0207 (0.0138, 0.0288)","0.0870 (0.0665, 0.1106)","0.2003 (0.1691, 0.2322)","0.6173 (0.5911, 0.6452)","0.0196 (0.0091, 0.0310)","0.5511 (0.5337, 0.5678)","0.0025 (0.0000, 0.0076)",0.08112618884584054,0.18951609689397175,0.0815553883996442,0.20037315253360857,0.9888622984914122,0.992021602959436,0.300136680749764,0.642830991191058,0.8093094952069632,0.9075827910535229,0.9342697266343684,0.9434672986131067,0.42506604491701855,0.5422693260789413,0.7510445832596474,0.8891366785955198,0.08467287150701902,0.17166217966530972,0.34343639613791355,0.8522161625522906
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.01}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6117 (0.5863, 0.6353)","0.0207 (0.0132, 0.0281)","0.0851 (0.0732, 0.0945)","0.2028 (0.1688, 0.2369)","0.6220 (0.5976, 0.6482)","0.0170 (0.0053, 0.0323)","0.5413 (0.5266, 0.5580)","0.0000 (0.0000, 0.0000)",,,,,0.9377114524951781,0.9590924953859477,0.3791593343372967,0.6818226842108595,0.8616527920603728,0.9493297428314283,0.5887967361409708,0.6579436838016542,0.8255483000672745,0.875750561557852,0.8351153799148257,0.931161606057857,0.008648367887742295,0.028585131755274534,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.03}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6093 (0.5857, 0.6347)","0.0188 (0.0113, 0.0269)","0.0989 (0.0813, 0.1175)","0.2028 (0.1662, 0.2390)","0.6194 (0.5933, 0.6451)","0.0156 (0.0037, 0.0321)","0.5363 (0.5209, 0.5560)","0.0000 (0.0000, 0.0000)",,,,,0.3897058526030336,0.4694086869513087,0.7413423539752406,0.8756232331858502,0.1736851695394599,0.44137990561181156,0.6880162861640873,0.7475332659360672,0.3687649087056613,0.4906448361592273,0.6617871077830119,0.8361509801042255,0.0017639716012512999,0.008654485668639189,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.1}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6026 (0.5751, 0.6294)","0.0200 (0.0126, 0.0281)","0.1008 (0.0856, 0.1175)","0.1853 (0.1512, 0.2233)","0.6125 (0.5848, 0.6376)","0.0132 (0.0036, 0.0249)","0.5355 (0.5184, 0.5562)","0.0000 (0.0000, 0.0000)",,,,,0.03318185856986313,0.05820728263093309,0.44364888704716177,0.7270267101872337,0.10612849365745633,0.31358884275037296,0.07105314819420118,0.10474501658675667,0.03132573455429947,0.06305308109006431,0.30965051558923196,0.6376356011804579,0.006216467372675333,0.022436445460000627,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.3}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5918 (0.5641, 0.6171)","0.0175 (0.0107, 0.0250)","0.0908 (0.0725, 0.1099)","0.1740 (0.1388, 0.2090)","0.6023 (0.5788, 0.6242)","0.0134 (0.0036, 0.0246)","0.5382 (0.5196, 0.5573)","0.0000 (0.0000, 0.0000)",,,,,0.0013052090181855604,0.0030814709151147815,0.9977750895138208,1.0,0.5546801639683718,0.7605658143496452,0.010072652122271462,0.01887954905821994,0.0031728974642074703,0.008502689970182454,0.36174643147416796,0.6544892083896796,0.01244684823589765,0.03869614204031546,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5745 (0.5482, 0.6018)","0.0176 (0.0069, 0.0315)","0.0789 (0.0656, 0.0911)","0.1577 (0.1215, 0.1931)","0.5837 (0.5607, 0.6072)","0.0144 (0.0014, 0.0366)","0.5302 (0.5058, 0.5534)","0.0000 (0.0000, 0.0000)",,,,,3.35694356677688e-05,0.00013869477367999214,0.9951882481343551,1.0,0.45946950495241573,0.734172782254382,4.6641538066618085e-05,0.0001702958482897451,0.00039525710356106916,0.001394502590091862,0.661714299644899,0.8361509801042255,0.0010227186604148313,0.006092242207534381,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 10.0}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.5335 (0.5139, 0.5528)","0.0119 (0.0075, 0.0163)","0.0732 (0.0556, 0.0887)","0.1065 (0.0800, 0.1283)","0.5297 (0.5004, 0.5591)","0.0145 (0.0073, 0.0236)","0.5126 (0.4997, 0.5248)","0.0000 (0.0000, 0.0000)",,,,,9.85313042806127e-08,1.1458825757078662e-06,0.3401289542567144,0.6589208148677645,0.08900577257468299,0.30051411385430604,2.1487638637657923e-06,1.2975227946585746e-05,4.8512147453524575e-05,0.00023801272344385494,0.6216864083255603,0.8210457628940944,0.001184744444616817,0.006889069548327417,,
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 3.0}",10,"0.9995 (0.9985, 1.0000)","0.9996 (0.9987, 1.0000)","0.5508 (0.5254, 0.5745)","0.0175 (0.0094, 0.0271)","0.0713 (0.0570, 0.0881)","0.1221 (0.0895, 0.1544)","0.5534 (0.5186, 0.5810)","0.0146 (0.0038, 0.0280)","0.5169 (0.5006, 0.5338)","0.0000 (0.0000, 0.0000)",0.34343639613791355,0.5071470098409604,0.3434363961379132,0.5021559907908859,5.0405776118983436e-08,6.087466808215693e-07,0.9988472080705825,1.0,0.19612233604541157,0.4773830505291413,2.4995639288430157e-06,1.4015412029584053e-05,2.000638702047827e-05,0.00011775843450601849,0.5873070918373532,0.8062592971275945,0.00041765560663716033,0.003049857220559729,,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.01}",10,"0.9995 (0.9985, 1.0000)","0.9995 (0.9985, 1.0000)","0.6390 (0.6111, 0.6673)","0.0244 (0.0156, 0.0346)","0.0826 (0.0656, 0.1006)","0.2566 (0.2151, 0.2937)","0.6470 (0.6182, 0.6752)","0.0151 (0.0063, 0.0247)","0.5734 (0.5466, 0.5998)","0.0000 (0.0000, 0.0000)",0.34343639613791355,0.5071470098409604,0.3434363961379132,0.5021559907908859,0.0014884412738974725,0.0034878400000284055,0.2705420633959556,0.6054981460200438,0.8851872370531457,0.9518794261461908,0.00027957325637762266,0.0008204299299305936,0.012370694483563795,0.02774570048456451,0.7064381204250698,0.8705320145395545,0.09084701873216276,0.18054407520189308,,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.05}",10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6536 (0.6238, 0.6847)","0.0131 (0.0044, 0.0256)","0.0657 (0.0413, 0.0945)","0.2997 (0.2600, 0.3403)","0.6401 (0.6065, 0.6736)","0.0037 (0.0000, 0.0086)","0.5766 (0.5529, 0.5973)","0.0000 (0.0000, 0.0000)",,,,,0.01448334635829338,0.027070064026810246,0.6194842187062127,0.8325450100883367,0.33295767634915835,0.6445877965216733,0.00037956768934526683,0.0010274504694346017,0.11071651149191719,0.18590900860140108,0.03693925152668032,0.3399603377447811,0.08773578236669677,0.17547156473339354,,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",10,"0.9995 (0.9985, 1.0000)","0.9995 (0.9985, 1.0000)","0.6811 (0.6651, 0.6976)","0.0225 (0.0107, 0.0382)","0.0757 (0.0551, 0.1000)","0.3305 (0.3067, 0.3513)","0.6268 (0.5977, 0.6552)","0.0027 (0.0000, 0.0065)","0.5709 (0.5515, 0.5928)","0.0000 (0.0000, 0.0000)",0.34343639613791355,0.5071470098409604,0.3434363961379132,0.5021559907908859,0.00014595762756291816,0.00046293631368440706,0.6600859662816551,0.8448845768337475,0.6394508496160841,0.8204395006877949,8.186908050939946e-06,3.836849444768871e-05,0.6653708125392538,0.7368047293733017,0.08097938176915549,0.34427155675539634,0.5240479855272427,0.6555819420540009,,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.2}",10,"0.9995 (0.9985, 1.0000)","0.9995 (0.9985, 1.0000)","0.7045 (0.6875, 0.7188)","0.0288 (0.0169, 0.0419)","0.1126 (0.0839, 0.1395)","0.3492 (0.3242, 0.3698)","0.6147 (0.5853, 0.6465)","0.0000 (0.0000, 0.0000)","0.5638 (0.5391, 0.5867)","0.0000 (0.0000, 0.0000)",0.34343639613791355,0.5071470098409604,0.3434363961379132,0.5021559907908859,0.0002912349189837034,0.0008621576732776206,0.26042039178038623,0.6054981460200438,0.10883613568652813,0.31358884275037296,8.670743444544072e-05,0.00029918829028426796,0.46157444137151876,0.5706077739789641,0.027900291764833163,0.3399603377447811,0.9748166590202569,0.977931089240769,,
synthetic_high_dense,GraphSAGE,none,{},10,"1.0000 (1.0000, 1.0000)","1.0000 (1.0000, 1.0000)","0.6119 (0.5862, 0.6362)","0.0175 (0.0082, 0.0257)","0.0839 (0.0740, 0.0950)","0.1997 (0.1678, 0.2287)","0.6227 (0.5981, 0.6491)","0.0180 (0.0058, 0.0311)","0.5634 (0.5427, 0.5838)","0.0000 (0.0000, 0.0000)",,,,,,,,,,,,,,,,,,,,
synthetic_high_medium,GCN,dp_sgd,"{""noise_multiplier"": 0.5}",10,"0.9820 (0.9765, 0.9880)","0.9820 (0.9764, 0.9875)","0.5178 (0.4987, 0.5407)","0.0050 (0.0013, 0.0106)","0.0650 (0.0494, 0.0794)","0.0956 (0.0657, 0.1294)","0.5260 (0.4968, 0.5560)","0.0156 (0.0049, 0.0318)","0.5190 (0.4949, 0.5422)","0.0000 (0.0000, 0.0000)",0.132302960933977,0.26004375080126513,0.1255876996085233,0.2556606742030653,0.0074822713252054324,0.015060469205862218,0.015643759725582036,0.1579515094873283,0.6818770792258859,0.8204395006877949,0.18918427665406246,0.2506492104193064,0.8563775084339772,0.8963417921608962,0.3395619580057143,0.6396723883537412,0.13277812216032436,0.2396110940134589,,
synthetic_high_medium,GCN,dp_sgd,"{""noise_multiplier"": 1.0}",10,"0.9820 (0.9765, 0.9875)","0.9820 (0.9764, 0.9876)","0.5178 (0.4995, 0.5402)","0.0050 (0.0006, 0.0100)","0.0650 (0.0487, 0.0800)","0.0956 (0.0638, 0.1325)","0.5260 (0.4935, 0.5549)","0.0156 (0.0048, 0.0323)","0.5190 (0.4954, 0.5430)","0.0000 (0.0000, 0.0000)",0.132302960933977,0.26004375080126513,0.1255876996085233,0.2556606742030653,0.0074822713252054324,0.015060469205862218,0.015643759725582036,0.1579515094873283,0.6818770792258859,0.8204395006877949,0.18918427665406246,0.2506492104193064,0.8563775084339772,0.8963417921608962,0.3395619580057143,0.6396723883537412,0.13277812216032436,0.2396110940134589,,
synthetic_high_medium,GCN,dp_sgd,"{""noise_multiplier"": 2.0}",10,"0.9820 (0.9770, 0.9875)","0.9820 (0.9765, 0.9878)","0.5178 (0.4992, 0.5389)","0.0050 (0.0006, 0.0100)","0.0650 (0.0506, 0.0800)","0.0956 (0.0644, 0.1307)","0.5260 (0.4925, 0.5563)","0.0156 (0.0050, 0.0322)","0.5190 (0.4936, 0.5423)","0.0000 (0.0000, 0.0000)",0.132302960933977,0.26004375080126513,0.1255876996085233,0.2556606742030653,0.0074822713252054324,0.015060469205862218,0.015643759725582036,0.1579515094873283,0.6818770792258859,0.8204395006877949,0.18918427665406246,0.2506492104193064,0.8563775084339772,0.8963417921608962,0.3395619580057143,0.6396723883537412,0.13277812216032436,0.2396110940134589,,
synthetic_high_medium,GCN,dropedge,"{""rate"": 0.1}",10,"0.9785 (0.9720, 0.9850)","0.9782 (0.9718, 0.9847)","0.5358 (0.5164, 0.5580)","0.0138 (0.0069, 0.0206)","0.0669 (0.0500, 0.0844)","0.1213 (0.0944, 0.1525)","0.5315 (0.5020, 0.5623)","0.0051 (0.0000, 0.0115)","0.5381 (0.5164, 0.5632)","0.0000 (0.0000, 0.0000)",1.0,1.0,0.976137594955734,0.9817362520339274,0.010413982414359516,0.02031049986403036,0.23727913766305142,0.6054981460200438,0.7705373440176939,0.8903110381890156,0.013209271733074995,0.023837421403365217,0.07458611260854509,0.1330684054493361,0.1680144893896291,0.4533494411978785,0.6841884998966403,0.7783883658244386,,
synthetic_high_medium,GCN,dropedge,"{""rate"": 0.2}",10,"0.9775 (0.9710, 0.9840)","0.9772 (0.9704, 0.9841)","0.5443 (0.5251, 0.5657)","0.0137 (0.0069, 0.0212)","0.0688 (0.0525, 0.0856)","0.1225 (0.0963, 0.1550)","0.5381 (0.5088, 0.5720)","0.0066 (0.0012, 0.0149)","0.5390 (0.5190, 0.5639)","0.0000 (0.0000, 0.0000)",0.5910512317836047,0.6989610002420222,0.5487071256100619,0.6761446654576472,0.0024720596375203433,0.005624831349140491,0.30395842394976547,0.642830991191058,0.9988094686698916,0.9991355865245559,0.024114661204690857,0.04127384082652261,0.001549837428177341,0.004506008818960046,0.27579919264236236,0.587245899979996,0.651370731111404,0.7547247585571248,,
synthetic_high_medium,GCN,dropedge,"{""rate"": 0.3}",10,"0.9765 (0.9710, 0.9825)","0.9760 (0.9701, 0.9820)","0.5486 (0.5288, 0.5703)","0.0144 (0.0081, 0.0206)","0.0606 (0.0456, 0.0775)","0.1287 (0.1019, 0.1594)","0.5406 (0.5097, 0.5738)","0.0064 (0.0024, 0.0128)","0.5481 (0.5242, 0.5720)","0.0000 (0.0000, 0.0000)",0.4225716281341963,0.5734900667535521,0.3637944417959227,0.5210121402604923,6.816452750384825e-05,0.00024887978646753896,0.2352072642215539,0.6054981460200438,0.19004723502201007,0.46988056533000916,0.008933853001122682,0.017423787840698896,0.00039281817006911864,0.001394502590091862,0.3326704032999323,0.6396723883537412,0.22364822811346155,0.35290090499342974,,
synthetic_high_medium,GCN,dropedge,"{""rate"": 0.5}",10,"0.9755 (0.9690, 0.9825)","0.9751 (0.9679, 0.9822)","0.5585 (0.5385, 0.5831)","0.0181 (0.0081, 0.0294)","0.0687 (0.0544, 0.0844)","0.1319 (0.1050, 0.1681)","0.5481 (0.5173, 0.5800)","0.0150 (0.0059, 0.0269)","0.5458 (0.5230, 0.5722)","0.0000 (0.0000, 0.0000)",0.21719492230471596,0.3751548657990549,0.2128575340066644,0.363259863424547,7.890894290644586e-05,0.0002783978435126292,0.7872291683024968,0.9025741013871117,0.9991078709267329,0.9991355865245559,0.02405879506835745,0.04127384082652261,0.00023463195287064186,0.0009445440154023275,0.439191795074714,0.7017024406126953,0.3008330586660449,0.4455734925525382,,
