dataset,model,defense,test_accuracy,lira_attack_auc,conf_attack_auc,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,train_seconds,lira_tpr_at_0.01_fpr,n_seeds
Cora,GCN,none,0.8676666666666666,0.5428666666666667,0.5777666666666667,,,,,,0.31103333333333333,0.019100000000000002,3
Cora,GCN,sami,0.8574999999999999,0.5102333333333334,0.5598666666666666,277.35103333333336,0.9996,,0.10243333333333333,0.2926,1.0138666666666667,0.013833333333333331,3
Cora,GraphSAGE,gtd,0.8784333333333333,0.5376,0.5898333333333333,,,,,,0.7825333333333333,0.0234,3
Cora,GraphSAGE,harp,0.8356666666666667,0.5341,0.5712666666666667,325.40000000000003,0.4005666666666667,0.1855,0.12016666666666669,0.4005666666666667,2.4684666666666666,0.013533333333333333,3
Cora,GraphSAGE,harp_k0,0.8341,0.5242,0.5482333333333332,324.9,0.3999,0.3999,0.12,0.3999,2.3752999999999997,0.013566666666666666,3
Cora,GraphSAGE,harp_k2,0.8279333333333333,0.5294,0.5635,333.9,0.41100000000000003,0.04666666666666666,0.12326666666666668,0.41100000000000003,2.4873,0.012000000000000002,3
Cora,GraphSAGE,harp_release_only,0.8301,0.5388333333333334,0.5723,325.40000000000003,0.4005666666666667,0.1855,0.12016666666666669,0.4005666666666667,0.9051,0.014766666666666666,3
Cora,GraphSAGE,harp_uniform,0.8263999999999999,0.5264333333333333,0.582,324.9,0.3999,0.3999,0.12,0.3999,2.020166666666667,0.017566666666666664,3
Cora,GraphSAGE,lbp,0.7159,0.517,0.5595,812.4,1.0,,0.3,1.0,0.7789999999999999,0.021866666666666663,3
Cora,GraphSAGE,none,0.8787333333333334,0.5675333333333333,0.6546,,,,,,0.7639999999999999,0.032933333333333335,3
Cora,GraphSAGE,sami,0.8732000000000001,0.5110666666666667,0.5692666666666667,304.2307,0.9996,,0.11236666666666667,0.321,2.3590666666666666,0.0151,3
PubMed,GraphSAGE,harp,0.8385666666666666,0.5024666666666667,0.5229,2365.9999999999995,0.39999999999999997,0.2471,0.12,0.39999999999999997,11.335433333333333,0.011833333333333335,3
PubMed,GraphSAGE,lbp,0.7681666666666667,0.4990666666666666,0.5034333333333333,5915.100000000001,1.0,,0.3,1.0,3.0041333333333333,0.009466666666666667,3
PubMed,GraphSAGE,none,0.8759666666666668,0.5053,0.5049333333333332,,,,,,2.924533333333333,0.0117,3
PubMed,GraphSAGE,sami,0.8556666666666666,0.49560000000000004,0.5065333333333334,2730.5508999999997,0.9998999999999999,,0.13849999999999998,0.3957,10.539466666666666,0.011033333333333334,3
