center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
0.5,1.5,low,sparse,42,0.485,0.4827967292244516,0.69,0.6871990421794343,0.22,0.07213114754098361,0.7400403995062282,0.2982456088066101,0.005
0.5,1.5,low,sparse,43,0.465,0.46168652943300836,0.705,0.700767466271623,0.165,0.05665236051502146,0.729884412523847,0.2982456088066101,0.005
0.5,1.5,low,sparse,44,0.485,0.46808300036830397,0.725,0.7137195998849509,0.195,0.06527196652719666,0.7574533348296114,0.2982456088066101,0.005
0.5,1.5,low,medium,42,0.515,0.5152077371589566,0.71,0.7066681488947519,0.19,0.06386554621848739,0.7400403995062282,0.29991644620895386,0.015
0.5,1.5,low,medium,43,0.49,0.48498314693436645,0.675,0.6664583979007831,0.195,0.06527196652719666,0.729884412523847,0.29991644620895386,0.015
0.5,1.5,low,medium,44,0.6,0.6018762896926391,0.715,0.7063007648627193,0.205,0.06804979253112034,0.7574533348296114,0.29991644620895386,0.015
0.5,1.5,low,dense,42,0.62,0.6219860902993805,0.71,0.7062483421680209,0.24,0.07741935483870968,0.7400403995062282,0.2998120188713074,0.04
0.5,1.5,low,dense,43,0.66,0.6509708750441016,0.71,0.7105707500568437,0.205,0.06804979253112034,0.729884412523847,0.2998120188713074,0.04
0.5,1.5,low,dense,44,0.685,0.6819777444777445,0.715,0.7012853951898529,0.19,0.06386554621848739,0.7574533348296114,0.2998120188713074,0.04
0.5,1.5,medium,sparse,42,0.63,0.6193796988085634,0.66,0.6561214225434966,0.16,0.05517241379310345,0.7400403995062282,0.548872172832489,0.005
0.5,1.5,medium,sparse,43,0.68,0.6839105485637164,0.675,0.6736051374538145,0.16,0.05517241379310345,0.729884412523847,0.548872172832489,0.005
0.5,1.5,medium,sparse,44,0.68,0.6739244851258582,0.68,0.6663159308140038,0.205,0.06804979253112034,0.7574533348296114,0.548872172832489,0.005
0.5,1.5,medium,medium,42,0.815,0.8079394683770792,0.71,0.7006956280252167,0.23,0.07479674796747968,0.7400403995062282,0.5497075915336609,0.015
0.5,1.5,medium,medium,43,0.825,0.8214865261509166,0.71,0.7064006045844445,0.155,0.05367965367965368,0.729884412523847,0.5497075915336609,0.015
0.5,1.5,medium,medium,44,0.85,0.8506615022404496,0.73,0.721712580207783,0.205,0.06804979253112034,0.7574533348296114,0.5497075915336609,0.015
0.5,1.5,medium,dense,42,0.97,0.9705408817541542,0.77,0.7678373931469864,0.225,0.07346938775510205,0.7400403995062282,0.5498120188713074,0.04
0.5,1.5,medium,dense,43,0.97,0.9704403145201791,0.73,0.7316210391104008,0.185,0.06244725738396625,0.729884412523847,0.5498120188713074,0.04
0.5,1.5,medium,dense,44,0.955,0.9546234546234548,0.72,0.7101731573175711,0.18,0.061016949152542375,0.7574533348296114,0.5498120188713074,0.04
