center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
0.5,1.5,medium,medium,43.0,0.83,0.8266958322561484,0.7166666666666667,0.7096029376058147,0.19666666666666666,0.06550873139275123,0.7424593822865622,0.5497075915336609,0.015
0.5,1.5,medium,sparse,43.0,0.6633333333333334,0.6590715774993793,0.6716666666666667,0.6653474969371049,0.17500000000000002,0.05946487337244241,0.7424593822865622,0.548872172832489,0.005
0.5,2.0,high,dense,43.0,1.0,1.0,0.525,0.519748149594694,0.18333333333333335,0.06190544894916559,0.5850259978303969,0.7998120188713074,0.04
0.5,2.0,high,medium,43.0,0.98,0.9799701720464751,0.5416666666666666,0.5335652656728314,0.17666666666666667,0.05987328564421015,0.5850259978303969,0.7994987368583679,0.015
0.5,2.0,high,sparse,43.0,0.7966666666666667,0.7945955471747669,0.5183333333333334,0.51352235470556,0.205,0.06785376468335134,0.5850259978303969,0.7994987368583679,0.005
0.5,2.0,low,dense,43.0,0.5716666666666667,0.5723272551956456,0.5283333333333333,0.5217108849892863,0.19499999999999998,0.06526805980411692,0.5850259978303969,0.2998120188713074,0.04
0.5,2.0,low,medium,43.0,0.4566666666666667,0.45235586903764147,0.5366666666666666,0.5267499354835053,0.18333333333333335,0.06182031562175714,0.5850259978303969,0.29991644620895386,0.015
0.5,2.0,low,sparse,43.0,0.41,0.403849256024108,0.5366666666666666,0.5288540116527369,0.19333333333333336,0.06468515819440059,0.5850259978303969,0.2982456088066101,0.005
0.5,2.0,medium,dense,43.0,0.9516666666666667,0.9512711506583993,0.55,0.5466589464339129,0.19666666666666666,0.06564453143053689,0.5850259978303969,0.5498120188713074,0.04
0.5,2.0,medium,medium,43.0,0.7733333333333334,0.7693505261744461,0.54,0.5309297066896886,0.20333333333333334,0.06747366952790214,0.5850259978303969,0.5497075915336609,0.015
0.5,2.0,medium,sparse,43.0,0.6083333333333333,0.6021395851761872,0.5333333333333333,0.5276373519852652,0.17500000000000002,0.05946487337244241,0.5850259978303969,0.548872172832489,0.005
1.0,1.0,high,dense,43.0,1.0,1.0,0.9983333333333334,0.9983529052920543,0.20833333333333334,0.06888576445942665,1.0,0.7998120188713074,0.04
1.0,1.0,high,medium,43.0,0.9899999999999999,0.9899434667281599,0.9983333333333334,0.9980215952629745,0.21166666666666667,0.06978083690398937,1.0,0.7994987368583679,0.015
1.0,1.0,high,sparse,43.0,0.92,0.920808804538711,0.9983333333333334,0.9981513137068693,0.17666666666666667,0.06000628280180217,1.0,0.7994987368583679,0.005
1.0,1.0,low,dense,43.0,0.835,0.8342629552356873,0.9966666666666667,0.9965444003037317,0.19833333333333333,0.0661940018054248,1.0,0.2998120188713074,0.04
1.0,1.0,low,medium,43.0,0.7399999999999999,0.7411313858083709,0.9983333333333334,0.9982683982683982,0.18166666666666664,0.06136308393102866,1.0,0.29991644620895386,0.015
